mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
219022165,-35550,-11937.9,180,0.950659,0.9808,0.00520558,0,0,0,0,0,1,0,0,0,0.0488942,0.901786,0.0493193,0.434445,0.434445,0
244150372,-35664.5,-4943.49,180,0.950459,0.97966,0.00492811,0,0,0,0,1,0,0,0,0,0.0497325,0.900654,0.0496133,0.435322,0.435322,0
219022165,-35607,-11648.5,240,0.949034,0.97956,0.00507209,0,0,0,0,0,1,0,0,0,0.0502875,0.900341,0.0493715,0.557764,0.477844,0
244150372,-35571.2,-5106.66,240,0.951088,0.9801,0.00508804,0,0,0,0,1,0,0,0,0,0.0494128,0.901927,0.0486601,0.55659,0.476239,0
219022165,-35652.6,-11360.2,300,0.949523,0.98073,0.00467393,0,0,0,0,0,1,0,0,0,0.0503485,0.899715,0.0499364,0.67193,0.571924,0
244150372,-35474.8,-5270.98,300,0.949861,0.97943,0.00527806,0,0,0,0,1,0,0,0,0,0.0498093,0.901511,0.0486801,0.670441,0.570665,0
219022165,-35708.1,-11077.9,360,0.950215,0.98079,0.00487825,0,0,0,0,0,0,1,0,0,0.0505928,0.899472,0.0499348,0.994376,0.992239,0
244150372,-35442.1,-5456.05,360,0.950983,0.340143,0.16168,1,0,0,1,0,1,0,0,0,0.051814,0.928543,0.0196433,0.813537,0.811881,0
219022165,-35756.4,-10790.5,420,0.949147,0.98014,0.00520549,0,0,0,0,1,0,0,0,0,0.0495619,0.90067,0.0497686,0.994635,0.810527,0
244150372,-35561.6,-5609.04,420,0.946304,0.332486,0.177589,1,0,0,1,0,1,0,0,0,0.0461623,0.937091,0.0167464,0.838539,0.683925,0
219022165,-35833.8,-10507.1,480,0.877166,0.779686,0.670494,0,1,0,1,1,0,0,0,0,0.171745,0.777612,0.0506438,0.879302,0.879302,1
