mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
255805883,14531.9,83344.7,2340,0.950648,0.97967,0.00511252,0,0,0,0,0,1,0,0,0,0.0491729,0.89824,0.0525874,0.988719,0.988719,0
259490000,13795.5,97767.6,2340,0.95095,0.98022,0.00484,0,0,0,1,1,0,0,0,0,0.04826,0.9012,0.05054,0.98853,0.98853,0
255805883,14748.4,83734.9,2400,0.909108,0.98033,0.0133323,0,0,0,0,0,1,0,0,0,0.0473064,0.821446,0.131248,1,1,0
259490000,14079.6,97229.1,2400,0.908726,0.97938,0.0133551,1,0,1,1,0.13762,0,0.86238,0,0,0.130584,0.864918,0.00449814,0.999226,0.999181,0
255805883,14960.3,84131.9,2460,0.90389,0.9803,0.0132133,0,0,0,0,0,1,0,0,0,0.0442597,0.815599,0.140141,1,0.983769,0
259490000,14271,96606.4,2460,0.833218,0.97989,0.023634,1,0,1,1,0.247899,0,0.752101,0,0,0.240952,0.75142,0.00762753,0.999079,0.981337,1
255805883,15156.6,84536.7,2520,0.733687,0.603145,0.421649,0,1,0,0,0,1,0,0,0,0.0348822,0.751052,0.214066,1,0.998859,0
259490000,14457.5,95946.8,2520,0.950219,0.97928,0.0048484,0,0,0,0,0.471388,0,0.528612,0,0,0.0467446,0.903524,0.0497313,0.995454,0.995454,0
255805883,15374.4,84933.4,2580,0.716786,0.627052,0.42921,0,1,0,0,0,1,0,0,0,0.051586,0.719394,0.22902,0.999958,0.989842,0
259490000,14652.6,95282.1,2580,0.950266,0.98001,0.00514183,0,0,0,0,0.802688,0,0.197312,0,0,0.0493073,0.900815,0.0498773,0.996179,0.988673,0
255805883,15598.2,85339.2,2640,0.716521,0.610679,0.40802,0,1,0,0,0,1,0,0,0,0.0406355,0.726135,0.23323,0.99991,0.989093,0
259490000,14847,94616.3,2640,0.949748,0.98009,0.00491691,0,0,0,0,0.979321,0,0.0206792,0,0,0.048833,0.901073,0.050094,0.996285,0.974601,0
255805883,15761.2,85745.3,2700,0.699902,0.63442,0.424023,0,1,0,1,0,1,0,0,0,0.0253781,0.733277,0.241345,0.999995,0.997651,0
259490000,15058.6,93938.2,2700,0.604218,0.98002,0.0509936,0,0,1,0,0.813355,0,0.186645,0,0,0.402142,0.575051,0.0228066,0.988542,0.988289,0
255805883,15838.5,86167.6,2760,0.746181,0.545987,0.370803,0,1,0,1,0,1,0,0,0,0.0635108,0.731419,0.20507,1,0.994304,0
