mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
210445000,10683.2,10040,240,0.949066,0.97965,0.0048335,0,0,0,0,0,1,0,0,0,0.0497194,0.900776,0.0495042,0.277012,0.277012,0
219829000,16460.7,10913,240,0.951492,0.97973,0.00470434,0,0,0,0,1,0,0,0,0,0.0506275,0.900561,0.0488115,0.277416,0.277416,0
210445000,10730.9,9837.07,300,0.950167,0.98036,0.0047208,0,0,0,0,0,1,0,0,0,0.0512132,0.897677,0.0511097,0.405559,0.275778,0
219829000,16413.1,10775.4,300,0.950122,0.97965,0.00515441,0,0,0,0,1,0,0,0,0,0.0524437,0.897074,0.0504821,0.408656,0.281811,0
210445000,10779.6,9630.41,360,0.94983,0.97939,0.00518352,0,0,0,0,0,1,0,0,0,0.0491021,0.900873,0.050025,0.466772,0.276024,0
219829000,16368,10637.3,360,0.951729,0.97923,0.0044544,0,0,0,0,1,0,0,0,0,0.049509,0.898189,0.0523021,0.473082,0.279205,0
210445000,10873.2,9462.52,420,0.947312,0.496136,0.131245,0,1,0,1,0,1,0,0,0,0.0475403,0.923549,0.0289108,0.622382,0.622382,0
219829000,16322.9,10499.2,420,0.950672,0.97953,0.00550782,0,0,0,0,1,0,0,0,0,0.0504762,0.900179,0.0493448,0.983643,0.975424,0
210445000,11047.7,9456.74,480,0.950879,0.496354,0.132651,1,1,0,1,0,1,0,0,0,0.0481235,0.926527,0.025349,0.624451,0.226343,0
219829000,16277.8,10361.1,480,0.948191,0.98067,0.00571179,0,0,0,0,1,0,0,0,0,0.0482568,0.902074,0.0496697,0.982202,0.359573,0
210445000,11262.6,9476.74,540,0.947891,0.498367,0.12893,1,1,0,1,0,1,0,0,0,0.0522906,0.913864,0.0338455,0.617178,0.451751,0
219829000,16238,10223.9,540,0.949843,0.97974,0.0051379,0,0,0,0,1,0,0,0,0,0.0491284,0.902522,0.0483501,0.98336,0.723802,0
210445000,11504.3,9421.59,600,0.954389,0.281183,0.188335,1,1,1,1,0,1,0,0,0,0.0533817,0.931943,0.014675,0.901107,0.898864,0
219829000,16194.9,10080.7,600,0.949057,0.97996,0.00519953,0,0,0,0,1,0,0,0,0,0.0485582,0.901436,0.0500063,0.99651,0.995328,0
210445000,11777.1,9326.92,660,0.944829,0.320331,0.317799,1,1,1,0,0,1,0,0,0,0.0544779,0.926894,0.0186286,0.990807,0.990781,0
219829000,16146.4,9946.41,660,0.952317,0.97967,0.00529345,0,0,0,1,1,0,0,0,0,0.048215,0.90029,0.0514954,1,1,0
210445000,12038.2,9211.61,720,0.947457,0.977919,0.997917,1,1,1,0,0,1,0,0,0,0.0499448,0.899787,0.0502681,1,1,1
219829000,16079.9,9813.88,720,0.948863,0.98003,0.00500917,0,0,0,0,1,0,0,0,0,0.0411673,0.907444,0.0513882,0.999971,0.999928,0
210445000,12299.3,9096.31,780,0.946844,0.97956,0.00601945,0,0,0,0,0,1,0,0,0,0.050019,0.892571,0.05741,1,1,0
219829000,16011.7,9678.49,780,0.948395,0.97964,0.00507255,0,0,0,0,1,0,0,0,0,0.0445286,0.9039,0.0515713,0.999986,0.999641,0
210445000,12560.4,8981.09,840,0.941565,0.97966,0.00622691,0,0,0,0,0,1,0,0,0,0.0488659,0.886204,0.0649298,1,1,0
219829000,15944.4,9545.71,840,0.951454,0.97983,0.00517226,0,0,0,0,1,0,0,0,0,0.0460573,0.904231,0.0497117,1,0.999095,0
210445000,12821.4,8865.82,900,0.934847,0.98021,0.00718847,0,0,0,0,0,1,0,0,0,0.0471285,0.879306,0.0735659,1,1,0
