mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
210445000,10779.6,9630.41,360,0.980151,0.9901,0,0,1,0,0,0,0.0501978,0.900047,0.0497548,0.125686,0.125686
219829000,16368,10637.3,360,0.979377,0.98959,1.87654e-05,1,0,0,0,0,0.0509518,0.897797,0.0512516,0.125555,0.125555
210445000,10873.2,9462.52,420,0.964641,0.973189,0.00110973,0,1,0,0,0,0.0496481,0.890695,0.0596574,0.0162272,0.0162272
219829000,16322.9,10499.2,420,0.980252,0.99005,1.74149e-05,1,0,0,0,0,0.0494413,0.900951,0.0496074,0.971339,0.970007
210445000,11047.7,9456.74,480,0.96617,0.973662,0.000591639,0,1,0,0,0,0.0473359,0.891788,0.060876,0.0142429,0.00263623
219829000,16277.8,10361.1,480,0.980537,0.99041,8.03526e-06,1,0,0,0,0,0.0518662,0.89714,0.0509934,0.971884,0.224965
210445000,11262.6,9476.74,540,0.965394,0.975583,0.000761758,0,1,0,0,0,0.0554523,0.898143,0.046405,0.0128029,0.0102797
219829000,16238,10223.9,540,0.980288,0.99041,7.40302e-06,1,0,0,0,0,0.0510538,0.899228,0.0497187,0.972321,0.663217
210445000,11504.3,9421.59,600,0.921931,0.904225,0.00391473,0,1,0,0,0,0.0473013,0.905478,0.0472205,0.0908634,0.0900205
219829000,16194.9,10080.7,600,0.980257,0.99035,6.85534e-06,1,0,0,0,0,0.0500226,0.900968,0.0490093,0.995141,0.994697
210445000,11777.1,9326.92,660,0.625608,0.40943,0.0326788,0,1,0,0,0,0.0320465,0.922711,0.0452421,0.622974,0.622953
219829000,16146.4,9946.41,660,0.980602,0.99011,1.25276e-05,1,0,0,0,0,0.0484689,0.90066,0.0508715,1,1
210445000,12038.2,9211.61,720,0.784253,0.791978,0.800227,0,1,0,0,0,0.0616176,0.873139,0.0652437,1,1
219829000,16079.9,9813.88,720,0.980268,0.99014,2.33784e-05,1,0,0,0,0,0.0462605,0.90502,0.0487197,1,0.99991
210445000,12299.3,9096.31,780,0.79277,0.801426,0.809147,0,1,0,0,0,0.046819,0.903023,0.0501585,1,1
219829000,16011.7,9678.49,780,0.980317,0.98964,5.39228e-06,1,0,0,0,0,0.0447373,0.905712,0.0495504,1,0.999668
210445000,12560.4,8981.09,840,0.864469,0.873463,0.88242,0,1,0,0,0,0.0534629,0.900359,0.0461777,1,1
219829000,15944.4,9545.71,840,0.979913,0.9904,1.49453e-05,1,0,0,0,0,0.0443812,0.905166,0.0504528,1,0.998874
210445000,12821.4,8865.82,900,0.79879,0.8069,0.814983,0,1,0,0,0,0.0432468,0.917876,0.0388768,1,0.999999
219829000,15877.8,9413.05,900,0.980489,0.99043,4.55034e-06,1,0,0,0,0,0.0425111,0.907373,0.0501157,1,0.998088
210445000,13082.6,8750.56,960,0.567367,0.572068,0.578485,0,1,0,0,0,0.0248251,0.946479,0.0286963,1,0.999998
219829000,15809.7,9278.71,960,0.980773,0.99049,1.24681e-05,1,0,0,0,0,0.0419606,0.906931,0.0511079,1,0.996645
210445000,13343.7,8635.38,1020,0.979973,0.99071,1,0,1,0,0,0,0.0487253,0.911504,0.0397709,1,0.997444
219829000,15745.7,9146.99,1020,0.980084,0.98973,1.16823e-05,1,0,0,0,0,0.0406064,0.909348,0.0500456,1,0.99456
210445000,13603.8,8518.96,1080,0.97972,0.989349,1,0,1,0,0,0,0.0820136,0.873428,0.0445581,1,0.999977
219829000,15684.1,9014.24,1080,0.980535,0.98976,1.06752e-05,1,0,0,0,0,0.0414085,0.907552,0.0510393,1,0.990766
210445000,13844.8,8352.53,1140,0.98011,0.993343,1,0,1,0,0,0,0.0805325,0.898034,0.0214336,1,0.989961
219829000,15620.6,8879.58,1140,0.980447,0.98959,9.68948e-06,1,0,0,0,0,0.0402309,0.909489,0.0502802,1,0.986601
210445000,14068.2,8172.64,1200,0.978518,0.991945,1,0,1,0,0,0,0.0391079,0.903274,0.057618,1,0.981238
219829000,15557.2,8751.25,1200,0.980403,0.98964,9.0397e-06,1,0,0,0,0,0.0408961,0.908913,0.0501907,1,0.978944
210445000,14291.6,7992.84,1260,0.969333,0.990918,1,0,1,0,0,0,0.00157004,0.953909,0.0445212,1,0.999631
219829000,15497.7,8616.88,1260,0.980561,0.98979,8.25038e-06,1,0,0,0,0,0.0367705,0.912064,0.0511651,1,0.970408
210445000,14515,7813,1320,0.982427,0.999826,1,0,1,0,0,0,0.0825233,0.873324,0.0441527,1,0.999772
219829000,15438.3,8482.56,1320,0.980016,0.98976,1.52344e-05,1,0,0,0,0,0.040813,0.908737,0.0504498,1,0.969163
210445000,14732.5,7615.03,1380,0.974443,0.978882,1,0,1,0,0,0,0.0976526,0.901061,0.00128644,1,0.999652
219829000,15377.6,8349.31,1380,0.980114,0.98995,9.39056e-06,1,0,0,0,0,0.0409961,0.90985,0.0491536,1,0.969578
210445000,14937.3,7408.91,1440,0.977183,0.99977,1,0,1,0,0,0,0.00114173,0.85547,0.143388,1,0.999709
219829000,15318.2,8211.99,1440,0.979757,0.99023,1.08509e-05,1,0,0,0,0,0.0386295,0.911117,0.050254,1,0.970365
210445000,15148.3,7206.22,1500,0.974277,0.972089,1,0,1,0,0,0,0.167469,0.83126,0.00127043,1,0.971555
219829000,15252.9,8078.75,1500,0.980505,0.98962,1.25381e-05,1,0,0,0,0,0.0407458,0.908925,0.0503289,1,0.97081
210445000,15345,7007.86,1560,0.982551,0.979684,1,0,1,0,0,0,0.000853194,0.998261,0.000885982,1,0.999438
219829000,15195.6,7943.39,1560,0.980204,0.98928,2.23026e-05,1,0,0,0,0,0.0394692,0.910917,0.0496139,1,0.970714
210445000,15580.8,6859.04,1620,0.987521,0.999874,1,0,1,0,0,0,0.000614452,0.998768,0.000617237,1,0.922976
219829000,15130.8,7802.91,1620,0.979645,0.99031,1.18265e-05,1,0,0,0,0,0.0382471,0.911937,0.0498155,1,0.97005
210445000,15835.3,6733.13,1680,0.961467,0.99962,1,0,1,0,0,0,0.00192471,0.996169,0.00190635,1,0.997618
219829000,15072.2,7667.67,1680,0.979611,0.99024,1.34591e-05,1,0,0,0,0,0.0405078,0.909568,0.0499239,0.999981,0.940083
210445000,16122.3,6654.13,1740,0.960905,0.9996,1,0,1,0,0,0,0.00192986,0.996135,0.00193504,1,0.996757
219829000,15006.3,7531.36,1740,0.980405,0.98973,1.11803e-05,1,0,0,0,0,0.0396116,0.90992,0.0504688,1,0.918559
210445000,16399.1,6700.25,1800,0.98527,0.999858,1,0,1,0,0,0,0.00074396,0.998526,0.00072994,1,0.55673
