mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
210445000,10683.2,10040,240,0.951085,0.98006,0.00527238,0,0,0,0,0,1,0,0,0,0.050132,0.900939,0.0489287,0.2774,0.2774,0
219829000,16460.7,10913,240,0.949361,0.98066,0.005059,0,0,0,0,1,0,0,0,0,0.0513944,0.898548,0.0500576,0.277935,0.277935,0
210445000,10730.9,9837.07,300,0.949567,0.9799,0.00463534,0,0,0,0,0,1,0,0,0,0.0506061,0.898324,0.0510696,0.406077,0.277691,0
219829000,16413.1,10775.4,300,0.949577,0.97963,0.0048651,0,0,0,0,1,0,0,0,0,0.0492166,0.899744,0.0510398,0.40754,0.278052,0
210445000,10779.6,9630.41,360,0.949576,0.97973,0.00475641,0,0,0,0,0,1,0,0,0,0.0494251,0.899456,0.0511187,0.468184,0.27792,1
219829000,16368,10637.3,360,0.949737,0.98002,0.00512773,0,0,0,0,1,0,0,0,0,0.0495018,0.90033,0.0501678,1,0.277977,0
210445000,10873.2,9462.52,420,0.950167,0.503196,0.129557,0,1,0,1,0,1,0,0,0,0.0550127,0.920119,0.024868,0.613121,0.613121,0
219829000,16322.9,10499.2,420,0.949684,0.98048,0.00496796,0,0,0,0,1,0,0,0,0,0.0503603,0.89953,0.05011,1,0.974923,0
210445000,11047.7,9456.74,480,0.946399,0.492348,0.128732,1,1,0,1,0,1,0,0,0,0.0473528,0.918005,0.0346419,0.623671,0.235878,1
219829000,16277.8,10361.1,480,0.948761,0.98058,0.00485775,0,0,0,0,1,0,0,0,0,0.050385,0.900247,0.0493678,1,0.362983,0
210445000,11262.6,9476.74,540,0.949508,0.97969,0.00436453,0,0,1,1,0,1,0,0,0,0.0505682,0.933361,0.0160713,0.708264,0.708264,0
219829000,16238,10223.9,540,0.951042,0.97946,0.00516787,0,0,0,0,1,0,0,0,0,0.048364,0.90245,0.0491861,0.99999,0.721654,0
210445000,11504.3,9421.59,600,0.948214,0.97916,0.0047108,0,1,1,1,0,1,0,0,0,0.0534313,0.944262,0.00230645,0.995284,0.99446,0
219829000,16194.9,10080.7,600,0.950612,0.98013,0.00525515,0,0,0,0,1,0,0,0,0,0.0516147,0.897817,0.0505679,1,0.995177,0
210445000,11777.1,9326.92,660,0.949159,0.97965,0.00938212,0,1,0,0,0,1,0,0,0,0.0486235,0.948987,0.00238904,0.999576,0.999392,0
219829000,16146.4,9946.41,660,0.857651,0.74883,0.76553,1,0,0,1,1,0,0,0,0,0.189463,0.771355,0.039182,1,1,0
210445000,12038.2,9211.61,720,0.848534,0.39539,0.292882,0,1,0,0,0,1,0,0,0,0.039683,0.840509,0.119808,1,1,1
219829000,16079.9,9813.88,720,0.949549,0.97969,0.00495295,0,0,0,0,1,0,0,0,0,0.0438155,0.905493,0.0506914,0.99993,0.9999,0
210445000,12299.3,9096.31,780,0.945782,0.9801,0.0057864,0,0,0,0,0,1,0,0,0,0.0490693,0.891903,0.0590276,1,1,0
219829000,16011.7,9678.49,780,0.950772,0.97991,0.0045716,0,0,0,0,1,0,0,0,0,0.0427243,0.906267,0.0510084,0.999959,0.999604,0
210445000,12560.4,8981.09,840,0.942607,0.97947,0.00689815,0,0,0,0,0,1,0,0,0,0.0493048,0.886482,0.0642128,1,1,0
219829000,15944.4,9545.71,840,0.950204,0.97958,0.00517396,0,0,0,0,1,0,0,0,0,0.0414834,0.909131,0.049386,0.99996,0.999087,0
210445000,12821.4,8865.82,900,0.934109,0.98005,0.0076167,0,0,0,0,0,1,0,0,0,0.0510693,0.873302,0.0756285,1,1,0
219829000,15877.8,9413.05,900,0.950381,0.98039,0.00507102,0,0,0,0,1,0,0,0,0,0.0417394,0.908308,0.0499524,0.999961,0.998119,0
210445000,13082.6,8750.56,960,0.130273,0.97975,0.136014,1,0,0,0,0,1,0,0,0,0.0429833,0.897601,0.0594159,1,0.999861,0
219829000,15809.7,9278.71,960,0.94941,0.98056,0.00502753,0,0,0,0,1,0,0,0,0,0.0394181,0.910179,0.0504025,0.999941,0.996772,0
210445000,13343.7,8635.38,1020,0.125967,0.98035,0.131537,1,0,0,0,0,1,0,0,0,0.0434692,0.910331,0.0462,1,0.999455,0
219829000,15745.7,9146.99,1020,0.949579,0.97941,0.00515526,0,0,0,0,1,0,0,0,0,0.0388168,0.910407,0.0507757,0.999961,0.995385,0
210445000,13603.8,8518.96,1080,0,0.98049,0.00616623,1,0,0,0,0,1,0,0,0,0.0498408,0.89649,0.0536696,1,0.99922,0
219829000,15684.1,9014.24,1080,0.950137,0.98038,0.00510787,0,0,0,0,1,0,0,0,0,0.0400278,0.909556,0.0504161,0.99998,0.992141,0
210445000,13844.8,8352.53,1140,0,0.9801,0.00651835,1,0,0,0,0,1,0,0,0,0.0515785,0.895811,0.0526104,1,0.997202,0
219829000,15620.6,8879.58,1140,0.950709,0.97919,0.00504499,0,0,0,0,1,0,0,0,0,0.0384247,0.912664,0.0489111,0.999961,0.98914,0
210445000,14068.2,8172.64,1200,0,0.98009,0.00660169,1,0,0,1,0,1,0,0,0,0.0493872,0.896898,0.0537143,0.999999,0.99247,0
219829000,15557.2,8751.25,1200,0.950475,0.98023,0.00496985,0,0,0,0,1,0,0,0,0,0.0388339,0.910365,0.0508008,0.999971,0.983378,0
