mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
255805883,14531.9,83344.7,2340,0.949667,0.97986,0.00506644,0,0,0,0,0,1,0,0,0,0.0507542,0.9003,0.0489459,0.989073,0.989073,0
259490000,13795.5,97767.6,2340,0.94941,0.98028,0.00538,0,0,0,1,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.9855,0.9855,0
255805883,14748.4,83734.9,2400,0.949631,0.98015,0.00516017,0,0,0,0,0,1,0,0,0,0.0491978,0.899893,0.050909,1,1,0
259490000,14079.6,97229.1,2400,0.94957,0.97922,0.00544,0,0,1,1,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.99953,0.99953,0
255805883,14960.3,84131.9,2460,0.946446,0.98001,0.00518139,0,0,0,0,0,1,0,0,0,0.0500887,0.896345,0.0535659,1,0.983417,0
259490000,14271,96606.4,2460,0.95039,0.97999,0.00484,1,0,1,1,0.02222,0.02222,0.02222,0.02222,0.02222,0.02222,0.02222,0.02222,0.97778,0.97778,0
255805883,15156.6,84536.7,2520,0.938536,0.98032,0.00643004,0,0,0,0,0,1,0,0,0,0.0495674,0.886346,0.0640867,0.999987,0.99554,0
259490000,14457.5,95946.8,2520,0.95,0.97995,0.00514,1,0,1,0,0.00615,0.00615,0.00615,0.00615,0.00615,0.00615,0.00615,0.00615,0.99385,0.99385,0
255805883,15374.4,84933.4,2580,0.928569,0.98012,0.00719118,0,0,0,0,0,1,0,0,0,0.0493095,0.875379,0.0753117,1,0.989256,0
259490000,14652.6,95282.1,2580,0.95071,0.97996,0.00484,1,0,1,0,0.01496,0.01496,0.01496,0.01496,0.01496,0.01496,0.01496,0.01496,0.98504,0.98504,0
255805883,15598.2,85339.2,2640,0.928556,0.98042,0.00780364,0,0,0,0,0,1,0,0,0,0.0485277,0.874698,0.0767746,1,0.974467,0
259490000,14847,94616.3,2640,0.94836,0.98096,0.00514,1,0,1,0,0.03224,0.03224,0.03224,0.03224,0.03224,0.03224,0.03224,0.03224,0.96776,0.96776,0
255805883,15761.2,85745.3,2700,0.927043,0.9799,0.00733626,0,0,0,1,0,1,0,0,0,0.0500836,0.874125,0.0757911,1,0.998181,0
259490000,15058.6,93938.2,2700,0.94924,0.9798,0.00476,1,0,1,0,0.00205,0.00205,0.00205,0.00205,0.00205,0.00205,0.00205,0.00205,0.99795,0.99795,0
255805883,15838.5,86167.6,2760,0.922909,0.98073,0.00818815,0,1,0,1,0,1,0,0,0,0.0517653,0.943733,0.00450153,1,0.989695,0
259490000,15271,93249.7,2760,0.95015,0.9796,0.00481,1,0,1,0,0.01481,0.01481,0.01481,0.01481,0.01481,0.01481,0.01481,0.01481,0.98519,0.98519,0
255805883,15891.9,86580.8,2820,0.922564,0.98036,0.00807525,0,1,0,1,0,1,0,0,0,0.0524634,0.943019,0.00451733,1,0.674851,0
259490000,15553,92588.7,2820,0.95003,0.97959,0.00502,1,0,1,1,0.42863,0.42863,0.42863,0.42863,0.42863,0.42863,0.42863,0.42863,0.57137,0.57137,0
255805883,15912.3,87013.2,2880,0.923053,0.98039,0.00807979,0,1,0,0,0,1,0,0,0,0.0526465,0.942791,0.00456227,1,0.676644,0
259490000,15931.8,91938,2880,0.94924,0.9799,0.00487,1,0,1,0,0.42739,0.42739,0.42739,0.42739,0.42739,0.42739,0.42739,0.42739,0.57261,0.57261,0
255805883,15942.7,87437.8,2940,0.922974,0.98022,0.00817952,0,1,0,0,0,1,0,0,0,0.052477,0.943177,0.00434602,0.999997,0.769548,0
259490000,16292.1,91285.8,2940,0.95084,0.97981,0.00498,1,0,1,0,0.30228,0.30228,0.30228,0.30228,0.30228,0.30228,0.30228,0.30228,0.69772,0.69772,0
255805883,15983.8,87875,3000,0.92079,0.98003,0.00816048,0,1,0,1,0,1,0,0,0,0.0516161,0.943264,0.00511952,0.999998,0.81157,0
259490000,16670.6,90610.1,3000,0.95157,0.97961,0.00516,1,0,1,0,0.24637,0.24637,0.24637,0.24637,0.24637,0.24637,0.24637,0.24637,0.75363,0.75363,0
255805883,16083.3,88312.6,3060,0.923453,0.98105,0.00825541,0,1,0,1,0,1,0,0,0,0.0522055,0.943734,0.00406078,1,0.883423,0
259490000,17019.9,89952.4,3060,0.9495,0.97953,0.00575,1,0,1,0,0.1536,0.1536,0.1536,0.1536,0.1536,0.1536,0.1536,0.1536,0.8464,0.8464,0
255805883,16242.8,88733.1,3120,0.921183,0.98059,0.00817862,0,1,0,1,0,1,0,0,0,0.0536985,0.941377,0.00492467,1,0.910711,0
259490000,17381.8,89278.2,3120,0.95146,0.9794,0.00507,1,0,1,0,0.12047,0.12047,0.12047,0.12047,0.12047,0.12047,0.12047,0.12047,0.87953,0.87953,0
255805883,16471.3,89116.5,3180,0.9225,0.98035,0.00821786,0,1,0,1,0,1,0,0,0,0.0545022,0.941087,0.00441108,1,0.909587,0
259490000,17750.9,88581.2,3180,0.94988,0.98069,0.00472,1,0,1,0,0.11985,0.11985,0.11985,0.11985,0.11985,0.11985,0.11985,0.11985,0.88015,0.88015,0
255805883,16716.5,89503,3240,0.922071,0.98022,0.00823163,0,1,0,0,0,1,0,0,0,0.0550119,0.940251,0.00473728,1,0.910238,0
259490000,18122.3,87900.7,3240,0.95113,0.98048,0.00525,1,0,1,0,0.11811,0.11811,0.11811,0.11811,0.11811,0.11811,0.11811,0.11811,0.88189,0.88189,0
255805883,16966.3,89883.7,3300,0.922179,0.98011,0.00826697,0,1,0,0,0,1,0,0,0,0.0531586,0.94251,0.00433105,0.999997,0.909875,0
259490000,18489.9,87213.9,3300,0.94955,0.97979,0.00517,1,0,1,0,0.11923,0.11923,0.11923,0.11923,0.11923,0.11923,0.11923,0.11923,0.88077,0.88077,0
255805883,17219.8,90260.6,3360,0.92204,0.97899,0.00827034,0,1,0,0,0,1,0,0,0,0.0539162,0.941611,0.00447254,1,0.930836,0
259490000,18859.3,86518.2,3360,0.94906,0.97974,0.00504,1,0,1,0,0.08992,0.08992,0.08992,0.08992,0.08992,0.08992,0.08992,0.08992,0.91008,0.91008,0
255805883,17471,90636,3420,0.921081,0.98015,0.00844174,0,1,0,0,0,1,0,0,0,0.0514501,0.944234,0.00431617,1,0.931357,0
259490000,19223.4,85829.3,3420,0.9503,0.97984,0.00521,1,0,1,0,0.09112,0.09112,0.09112,0.09112,0.09112,0.09112,0.09112,0.09112,0.90888,0.90888,0
255805883,17729.1,91019,3480,0.922366,0.98019,0.00818259,0,1,0,0,0,1,0,0,0,0.0533525,0.942123,0.00452461,1,0.932355,0
259490000,19598.3,85118.3,3480,0.95001,0.9802,0.00491,1,0,1,0,0.08889,0.08889,0.08889,0.08889,0.08889,0.08889,0.08889,0.08889,0.91111,0.91111,0
255805883,17984.8,91391.9,3540,0.921303,0.97976,0.008334,0,1,0,0,0,1,0,0,0,0.0518532,0.94321,0.00493698,0.999965,0.907147,0
259490000,19962.6,84431.7,3540,0.95081,0.98017,0.00469,1,0,1,0,0.11738,0.11738,0.11738,0.11738,0.11738,0.11738,0.11738,0.11738,0.88262,0.88262,0
