mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
219022165,-35958.2,-10242.8,540,0.950347,0.97995,0.00190101,0,0,0,0,1,0,0,0,0,0.0486714,0.900435,0.0508938,0.99997,0.99997
244150372,-35855.5,-5810.48,540,0.950022,0.97972,0.00251514,0,0,0,0,0,1,0,0,0,0.0487673,0.889222,0.0620112,0.998729,0.998729
219022165,-36116,-9994.7,600,0.948706,0.98003,0.00196676,0,0,0,0,1,0,0,0,0,0.0473612,0.902124,0.0505145,0.99999,0.999809
244150372,-35990.8,-5941.13,600,0.949139,0.97931,0.00245459,0,0,0,0,0,1,0,0,0,0.0471367,0.892468,0.0603956,0.998983,0.997097
219022165,-36269.5,-9754.03,660,0.950374,0.97971,0.00199473,0,0,0,0,1,0,0,0,0,0.0481162,0.901688,0.0501957,0.99997,0.995378
244150372,-36100.1,-6083.01,660,0.946842,0.98007,0.00263498,0,1,0,0,0,1,0,0,0,0.0519851,0.944847,0.00316783,0.998891,0.992672
219022165,-36434.4,-9510.28,720,0.949879,0.98031,0.00185086,0,0,0,0,1,0,0,0,0,0.0474157,0.901934,0.0506503,0.99997,0.996433
244150372,-36213.6,-6234.63,720,0.94682,0.97957,0.00281411,0,1,0,0,0,1,0,0,0,0.0520931,0.944731,0.00317587,0.999071,0.992824
219022165,-36602.2,-9265.43,780,0.950293,0.98052,0.00183944,0,0,0,0,1,0,0,0,0,0.0455648,0.903487,0.0509484,0.99998,0.998217
244150372,-36326.6,-6386.09,780,0.947063,0.98024,0.0027893,0,1,0,0,0,1,0,0,0,0.0524286,0.944471,0.00309994,0.999116,0.994856
219022165,-36765.7,-9025.02,840,0.949325,0.97981,0.00216033,0,0,0,0,1,0,0,0,0,0.0432482,0.907753,0.0489987,0.99999,0.996459
244150372,-36445.8,-6535.2,840,0.947738,0.97954,0.00272192,0,1,0,0,0,1,0,0,0,0.0524411,0.944423,0.00313618,0.999109,0.992901
219022165,-36920,-8789.9,900,0.95004,0.98001,0.00191672,0,0,0,0,1,0,0,0,0,0.0431683,0.906131,0.050701,0.99999,0.99601
244150372,-36557.5,-6680.86,900,0.946947,0.98099,0.00275493,0,1,0,0,0,1,0,0,0,0.0504921,0.94639,0.00311749,0.999053,0.991264
219022165,-37084.6,-8550.98,960,0.950876,0.97963,0.00208412,0,0,0,0,1,0,0,0,0,0.0424864,0.906899,0.0506146,0.999981,0.989451
244150372,-36653.2,-6840.23,960,0.946368,0.97963,0.0027657,0,1,0,0,0,1,0,0,0,0.0560825,0.940968,0.00294972,0.999101,0.988725
219022165,-37081.8,-8285.14,1020,0.0509506,0.97952,0.053723,1,0,0,0,1,0,0,0,0,0.0480984,0.901524,0.0503777,1,0.99924
244150372,-36756.9,-6997.21,1020,0.732358,0.703319,0.650748,0,1,0,0,0,1,0,0,0,0.0441539,0.910936,0.0449097,0.877574,0.877494
219022165,-36958.3,-8022.75,1080,0.0440494,0.9802,0.0469913,1,0,0,0,1,0,0,0,0,0.0471449,0.905762,0.0470934,0.999985,0.998465
244150372,-36862.8,-7155.04,1080,0.704898,0.723411,0.73978,0.994817,1,0,0,0,1,0,0,0,0.0400188,0.905752,0.0542296,1,0.994304
219022165,-36826.7,-7768.89,1140,0,0.98045,0.00300175,1,0,0,0,1,0,0,0,0,0.0511364,0.897995,0.0508689,1,0.998061
244150372,-36964.5,-7312.63,1140,0.937922,0.966996,0.037913,0.998405,0.996749,0,0,0,1,0,0,0,0.00258664,0.0469596,0.950454,1,0.998307
219022165,-36743.7,-7499.54,1200,0,0.98021,0.00301976,1,0,0,0,1,0,0,0,0,0.0507108,0.902061,0.0472284,0.99998,0.998975
244150372,-37062.5,-7470.77,1200,0.937969,0.968734,0.0340043,0.997865,0.997687,0,0,0,1,0,0,0,0.00312154,0.0431092,0.953769,1,0.999497
219022165,-36721.9,-7213.36,1260,0,0.9805,0.00296327,1,0,0,0,1,0,0,0,0,0.0490264,0.899934,0.0510398,0.999957,0.99817
244150372,-37145.7,-7575.23,1260,0.936414,0.966672,0.0405063,0.998767,0.997649,0,0,0,1,0,0,0,0.00165189,0.0498775,0.948471,1,0.997024
219022165,-36739.1,-6925.13,1320,0,0.97978,0.00304854,1,0,0,0,1,0,0,0,0,0.0493124,0.900046,0.0506416,0.99995,0.998059
244150372,-37225.5,-7669.94,1320,0.936956,0.966876,0.0348518,0.998504,0.996942,0,0,0,1,0,0,0,0.00181343,0.0453084,0.952878,1,0.998942
