mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
255805883,12758.6,80193.7,1920,0.97986,0.99032,1.70749e-05,0,1,0,0,0,0.0504087,0.899501,0.0500901
259490000,11919.7,99431.4,1920,0.979758,0.920924,1.31099e-05,0,0,1,0,0,0.0502717,0.903036,0.0466923
255805883,12992.5,80574.1,1980,0.97994,0.985291,1.84975e-05,0,1,0,0,0,0.049259,0.878351,0.07239
259490000,11970.2,99307.9,1980,0.920928,0.76104,0.00298692,1,0,0,0,0,0.207303,0.736562,0.0561348
255805883,13221.8,80963.3,2040,0.979657,0.978906,4.05545e-05,0,1,0,0,0,0.0464099,0.84918,0.10441
259490000,12129,99182.7,2040,0.769887,0.179311,0.0127138,1,0,0,0,0,0.635654,0.343819,0.0205267
255805883,13442.8,81354.4,2100,0.980762,0.944694,4.03099e-05,0,1,0,0,0,0.0373611,0.693606,0.269033
259490000,12402,99107.8,2100,0.714379,0.938066,0.000905399,1,0,0,0,0,0.724602,0.26204,0.0133576
255805883,13664.1,81750.5,2160,0.981202,0.930208,0.000158165,0,1,0,0,0,0.0352099,0.614056,0.350734
259490000,12758,98937.7,2160,0.721825,0.913778,0.000993146,1,0,0,0,0,0.732182,0.256644,0.0111748
255805883,13880.3,82140.3,2220,0.979158,0.916575,0.00013149,0,1,0,0,0,0.0289463,0.53396,0.437094
259490000,13103.6,98642.2,2220,0.712635,0.860671,0.00335743,1,0,0,0,0,0.718522,0.266262,0.015216
255805883,14092.4,82549.9,2280,0.97873,0.900258,0.000155093,0,1,0,0,0,0.0249073,0.457329,0.517764
259490000,13483.8,98239.6,2280,0.717584,0.824688,0.00194968,1,0,0,0,0,0.72952,0.258113,0.0123669
255805883,14308.8,82941.1,2340,0.978023,0.888271,8.46357e-05,0,1,0,0,0,0.0278245,0.477357,0.494819
259490000,13795.5,97767.6,2340,0.72158,0.746367,0.0024397,1,0,0,0,0,0.732733,0.254469,0.0127977
255805883,14531.9,83344.7,2400,0.978736,0.861659,3.76762e-05,0,1,0,0,0,0.02144,0.422183,0.556377
259490000,14079.6,97229.1,2400,0.979931,0.707138,0.000468218,0,0,1,0,0,0.0585706,0.941429,0
255805883,14748.4,83734.9,2460,0.977572,0.861085,0,0,1,0,0,0,0.020684,0.323573,0.655743
259490000,14271,96606.4,2460,0.972385,0.00122512,0.00151869,0,0,1,0,0,0.0633025,0.935578,0.00111978
255805883,14960.3,84131.9,2520,0.977999,0.862659,0.000110286,0,1,0,0,0,0.0168608,0.304954,0.678185
259490000,14457.5,95946.8,2520,0.977069,0.000281888,0.000281888,0,0,1,0,0,0.0540657,0.945485,0.00044897
