mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
219022165,-35833.8,-10507.1,480,0.95001,0.97991,0.00195,0,0,0,1,1,0,0,0,0,0.05037,0.89943,0.0502,0.99882,0.99882
244150372,-35728.4,-5680.69,480,0.95017,0.98015,0.0023,0,0,0,1,0,1,0,0,0,0.04964,0.90032,0.05004,0.99987,0.99987
219022165,-35958.2,-10242.8,540,0.94935,0.97917,0.00193,0,0,0,1,1,0,0,0,0,0.04991,0.90086,0.04923,0.99999,0.99999
244150372,-35855.5,-5810.48,540,0.94976,0.9799,0.00233,0,0,0,1,0,1,0,0,0,0.04973,0.89942,0.05085,0.9991,0.9991
219022165,-36116,-9994.7,600,0.950931,0.98004,0.00177031,0,0,0,0,1,0,0,0,0,0.048434,0.901323,0.050243,0.99975,0.99975
244150372,-35990.8,-5941.13,600,0.949326,0.97982,0.00210329,0,0,0,0,0,1,0,0,0,0.0500673,0.897183,0.0527497,0.997297,0.997297
219022165,-36269.5,-9754.03,660,0.950194,0.97973,0.00214287,0,0,0,0,1,0,0,0,0,0.0486664,0.90003,0.0513034,0.995185,0.995185
244150372,-36100.1,-6083.01,660,0.95054,0.98037,0.00223,0,0,0,1,0,1,0,0,0,0.04856,0.90057,0.05087,0.993,0.993
219022165,-36434.4,-9510.28,720,0.95084,0.97944,0.00209355,0,0,0,0,1,0,0,0,0,0.0485297,0.901485,0.0499855,0.996285,0.996285
244150372,-36213.6,-6234.63,720,0.951235,0.9797,0.00211325,0,0,0,0,0,1,0,0,0,0.0486212,0.898575,0.0528036,0.992639,0.992639
219022165,-36602.2,-9265.43,780,0.94966,0.97897,0.00206464,0,0,0,0,1,0,0,0,0,0.045891,0.903322,0.0507867,0.9983,0.9983
244150372,-36326.6,-6386.09,780,0.949767,0.98058,0.00226313,0,0,0,0,0,1,0,0,0,0.0490106,0.895086,0.0559039,0.994948,0.994948
219022165,-36765.7,-9025.02,840,0.951183,0.98039,0.00212585,0,0,0,0,1,0,0,0,0,0.0443315,0.904159,0.05151,0.998308,0.996364
244150372,-36445.8,-6535.2,840,0.950165,0.97958,0.00241815,0,0,0,0,0,1,0,0,0,0.0494591,0.893386,0.0571553,0.995779,0.992323
219022165,-36920,-8789.9,900,0.948728,0.98012,0.00205797,0,0,0,0,1,0,0,0,0,0.0450177,0.904118,0.0508645,0.998278,0.996103
244150372,-36557.5,-6680.86,900,0.950778,0.98023,0.00222228,0,0,0,0,0,1,0,0,0,0.0497867,0.892555,0.0576578,0.995982,0.992051
219022165,-37084.6,-8550.98,960,0.950104,0.98044,0.00192079,0,0,0,0,1,0,0,0,0,0.0451347,0.903415,0.0514507,0.998199,0.98913
244150372,-36653.2,-6840.23,960,0.950196,0.97946,0.0022829,0,0,0,1,0,1,0,0,0,0.0482757,0.894555,0.057169,0.996275,0.988598
219022165,-37081.8,-8285.14,1020,0.569812,0.97985,0.0255538,1,0,0,1,1,0,0,0,0,0.573177,0.404439,0.0223835,0.996354,0.995833
244150372,-36756.9,-6997.21,1020,0.643589,0.98036,0.0199054,0,0,0,0,0,1,0,0,0,0.0229146,0.431905,0.54518,0.996264,0.996165
219022165,-36958.3,-8022.75,1080,0.577392,0.98063,0.0225491,1,0,0,1,1,0,0,0,0,0.579051,0.398926,0.0220229,0.994117,0.993515
244150372,-36862.8,-7155.04,1080,0.614396,0.97967,0.0196292,0,0,0,0,0,1,0,0,0,0.0219602,0.384644,0.593396,0.997936,0.996267
219022165,-36826.7,-7768.89,1140,0.045216,0.98012,0.0480552,1,0,0,0,1,0,0,0,0,0.0571544,0.894315,0.0485305,0.999713,0.998317
244150372,-36964.5,-7312.63,1140,0.602881,0.97946,0.0109108,0,0,0,0,0,1,0,0,0,0.0193214,0.382267,0.598412,0.974919,0.971868
219022165,-36743.7,-7499.54,1200,0.0450159,0.98021,0.0478286,1,0,0,1,1,0,0,0,0,0.0536501,0.899659,0.0466911,0.999746,0.999025
244150372,-37062.5,-7470.77,1200,0.625766,0.98012,0.0742202,0,0,0,0,0,1,0,0,0,0.0185627,0.400396,0.581042,0.999694,0.995315
219022165,-36721.9,-7213.36,1260,0.0331373,0.97986,0.0360016,1,0,0,1,1,0,0,0,0,0.0541997,0.897824,0.0479762,0.999528,0.997798
244150372,-37145.7,-7575.23,1260,0.580901,0.97896,0.0400085,0,0,0,0,0,1,0,0,0,0.0209956,0.405264,0.57374,0.999776,0.999061
219022165,-36739.1,-6925.13,1320,0.0389413,0.97945,0.0418117,1,0,0,1,1,0,0,0,0,0.0602149,0.892401,0.0473842,0.999685,0.998005
244150372,-37225.5,-7669.94,1320,0.53624,0.97895,0.0014206,0,0,0,0,0,1,0,0,0,0.0221231,0.406695,0.571182,0.99972,0.999135
219022165,-36778.6,-6638.45,1380,0.112831,0.98074,0.115528,1,0,0,0,1,0,0,0,0,0.0582811,0.898441,0.0432783,0.999716,0.998359
244150372,-37305.3,-7764.65,1380,0.556212,0.97955,0.111725,0,0,0,0,0,1,0,0,0,0.0220108,0.506489,0.4715,0.999688,0.999118
219022165,-36821.3,-6356.3,1440,0,0.97971,0.00300583,1,0,0,0,1,0,0,0,0,0.055556,0.895463,0.0489812,0.999647,0.998418
