mmsi,x,y,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
211200040,5119.31,11987.5,660,0.98079,0,0,0.98983,1.80845e-05,0,0,1,0,0,0.0491715,0.901518,0.0493102
259351000,6278.17,7845.47,660,0.978235,0,0,0.99042,0,0,0,1,0,0,0.0497299,0.902096,0.0481736
211200040,5140.59,11765.6,720,0.980277,0,0,0.99009,9.0861e-06,0,0,1,0,0,0.0496195,0.899683,0.0506973
259351000,6267.4,8030.86,720,0.979981,0,0,0.98987,5.18609e-08,0,0,1,0,0,0.0523958,0.897134,0.0504706
211200040,5162.24,11549.9,780,0.980708,0,0,0.990312,8.54293e-06,0,0,1,0,0,0.0498438,0.901378,0.0487786
259351000,6245.5,8215.51,780,0.979609,0,0,0.99045,1.55881e-05,0,0,1,0,0,0.0512252,0.898809,0.0499653
211200040,5172.77,11339.7,840,0.980043,0,0,0.98947,0,0,0,1,0,0,0.0519294,0.897874,0.0501968
259351000,6223.61,8400.04,840,0.979788,0,0,0.99064,0,0,0,1,0,0,0.050235,0.899784,0.0499811
211200040,5172.16,11122.3,900,0.9804,0,0,0.99049,8.61183e-06,0,0,1,0,0,0.0485669,0.901577,0.0498561
259351000,6201.72,8581.14,900,0.980696,0,0,0.99012,0,0,0,1,0,0,0.0477599,0.902847,0.0493933
211200040,5171.54,10895.3,960,0.979728,0,0,0.98993,5.54329e-06,0,0,1,0,0,0.0521262,0.898429,0.0494444
259351000,6179.84,8765.43,960,0.979755,0,0,0.98984,0,0,0,1,0,0,0.0498596,0.900107,0.0500336
211200040,5170.94,10672.4,1020,0.979594,0,0,0.99015,2.55813e-05,0,0,1,0,0,0.0503971,0.899224,0.0503792
259351000,6157.98,8950.68,1020,0.979854,0,0,0.99014,0,0,0,1,0,0,0.0478767,0.902789,0.049334
211200040,5181.5,10452.5,1080,0.97917,0,0,0.98999,6.81081e-05,0,0,1,0,0,0.0591184,0.882651,0.0582302
259351000,6124.98,9134.3,1080,0.980324,0,0,0.98948,0,0,0,1,0,0,0.0450424,0.908694,0.0462635
211200040,5197.79,10247.3,1140,0.979122,0,0,0.99008,1.60516e-07,0,0,1,0,0,0.04164,0.923279,0.0350814
259351000,6100.12,9316.24,1140,0.978617,0,0,0.98997,4.45941e-11,0,0,1,0,0,0.0369944,0.903639,0.0593667
211200040,5214.18,10034.9,1200,0.978412,0,0,0.99023,2.13218e-07,0,0,1,0,0,0.102385,0.823987,0.0736275
259351000,6070.15,9502.81,1200,0.974162,0,0,0.99024,7.56997e-08,0,0,1,0,0,0.0766008,0.866627,0.0567722
211200040,5246.71,9815.14,1260,0.979519,0,0,0.991596,2.61987e-05,0,0,1,0,0,0.051056,0.898854,0.0500903
259351000,6048.32,9689.85,1260,0.983466,0,0,0.98999,2.32125e-07,0,0,1,0,0,0.0542521,0.909307,0.0364413
211200040,5269.27,9610.48,1320,0.97946,0,0,0.991105,1.10142e-05,0,0,1,0,0,0.0545073,0.904493,0.0409993
259351000,6023.15,9872.03,1320,0.979436,0,0,0.98963,0,0,0,1,0,0,0.0356392,0.917083,0.0472774
211200040,5323.71,9414.63,1380,0.980325,0,0,0.982592,2.0656e-05,0,0,1,0,0,0.0505172,0.891547,0.0579358
259351000,5993.53,10053.9,1380,0.98326,0,0,0.99015,6.27292e-09,0,0,1,0,0,0.0547407,0.909726,0.035533
211200040,5355.89,9217.71,1440,0.979101,0,0,0.988405,2.12714e-07,0,0,1,0,0,0.0697048,0.87553,0.0547653
259351000,5968.71,10237.2,1440,0.979858,0,0,0.98971,2.23751e-08,0,0,1,0,0,0.0440656,0.905594,0.0503405
211200040,5399.27,8995.61,1500,0.981516,0,0,0.994568,1.12147e-05,0,0,1,0,0,0.0521992,0.89999,0.0478111
259351000,5936.33,10420,1500,0.97778,0,0,0.99058,0,0,0,1,0,0,0.00113431,0.945381,0.0534842
211200040,5438.08,8769.25,1560,0.979079,0,0,0.996543,1.24666e-05,0,0,1,0,0,0.0621311,0.878781,0.0590883
259351000,5902.84,10602.4,1560,0.982131,0,0,0.98978,1.24273e-09,0,0,1,0,0,0.0612619,0.898032,0.0407064
211200040,5466.54,8536.7,1620,0.979973,0,0,0.990788,6.69126e-06,0,0,1,0,0,0.0438176,0.899765,0.0564179
259351000,5861.77,10781.7,1620,0.982267,0,0,0.99003,2.11518e-11,0,0,1,0,0,0.101131,0.855989,0.04288
211200040,5538.83,8329.41,1680,0.980371,0,0,0.989531,1.17788e-05,0,0,1,0,0,0.0562537,0.890826,0.0529205
259351000,5828.85,10962.6,1680,0.978619,0,0,0.9896,6.66636e-09,0,0,1,0,0,0.00108656,0.941241,0.0576729
211200040,5618.71,8123.06,1740,0.979722,0,0,0.994496,9.58879e-06,0,0,1,0,0,0.0545801,0.892199,0.0532212
259351000,5804.59,11133.6,1740,0.980518,0,0,0.99005,5.13903e-09,0,0,1,0,0,0.112184,0.844331,0.0434851
211200040,5710.31,7924.51,1800,0.97876,0,0,0.989613,1.71712e-05,0,0,1,0,0,0.0465995,0.904958,0.0484424
259351000,5774.12,11308,1800,0.987294,0,0,0.98981,2.38853e-08,0,0,1,0,0,0.224455,0.74879,0.026755
211200040,5786.23,7733.1,1860,0.979605,0,0,0.989438,1.48983e-05,0,0,1,0,0,0.0590278,0.892623,0.0483496
259351000,5749.9,11484.1,1860,0.973356,0,0,0.98982,1.81226e-08,0,0,1,0,0,0.00119561,0.929592,0.0692127
211200040,5843.2,7532.26,1920,0.98155,0,0,0.989907,1.15397e-05,0,0,1,0,0,0.0499564,0.901924,0.0481197
259351000,5730.62,11672.8,1920,0.798004,0,0,0.9895,0,0,0,1,0,0,0.0139676,0.466797,0.519236
211200040,5916.92,7342.77,1980,0.980133,0,0,0.986798,1.20712e-05,0,0,1,0,0,0.0570831,0.893877,0.0490402
259351000,5706.64,11851.2,1980,0.979554,0,0,0.98985,8.58804e-09,0,0,1,0,0,0.000949368,0.957685,0.0413655
211200040,6035.81,7248.71,2040,0.980784,0,0,0.988217,1.00814e-05,0,0,1,0,0,0.0534472,0.902013,0.0445394
259351000,5671.99,12034,2040,0.994751,0,0,0.99024,2.09844e-09,0,0,1,0,0,0.000223638,0.988325,0.0114515
211200040,6157.49,7155.83,2100,0.979492,0,0,0.991282,1.21854e-05,0,0,1,0,0,0.0645787,0.8873,0.0481216
259351000,5643.12,12210.5,2100,0.994848,0,0,0.98993,3.84488e-09,0,0,1,0,0,0.000407574,0.987419,0.0121737
211200040,6239.88,6951.6,2160,0.978509,0,0,0.994579,1.27168e-05,0,0,1,0,0,0.0574947,0.88457,0.0579349
259351000,5643.69,12396.3,2160,0.797236,0,0,0.98946,1.18007e-07,0,0,1,0,0,0.00968516,0.749332,0.240983
211200040,6286.46,6705.58,2220,0.979143,0,0,0.994148,1.17921e-05,0,0,1,0,0,0.0394709,0.91597,0.0445592
259351000,5655.39,12576.6,2220,0.973233,0,0,0.9898,2.14765e-08,0,0,1,0,0,0.00134861,0.915955,0.0826965
211200040,6362.27,6475.63,2280,0.977911,0,0,0.991944,5.03937e-05,0,0,1,0,0,0.0117284,0.945877,0.0423941
259351000,5655.99,12767,2280,0.957099,0,0,0.99008,1.69104e-06,0,0,1,0,0,0.00234865,0.945643,0.0520084
211200040,6446.36,6266.86,2340,0.975954,0,0,0.984274,6.01384e-05,0,0,1,0,0,0.0334486,0.908792,0.0577595
259351000,5667.73,12953.5,2340,0.987084,0,0,0.98958,1.29105e-08,0,0,1,0,0,0.96897,0.0120826,0.0189469
211200040,6453.58,6253.53,2400,0.982195,0,0,0.805402,0.00064939,0,0,1,0,0,0.000237971,0.180246,0.819516
259351000,5668.31,13131.7,2400,0,0,0,0.9896,4.83604e-06,0,0,1,0,0,0.0514874,0.936655,0.011858
