mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
257062170,10211.2,4909.24,3900,0.980479,0.98995,0,0,0,0,1,0,0.0505705,0.900022,0.0494073
259299000,9032.41,398.682,3900,0.980233,0.990167,0,0,0,0,0,1,0.0494059,0.900389,0.0502053
257062170,10547.7,5165.77,3960,0.980428,0.98974,8.41243e-06,0,0,0,1,0,0.0498614,0.901237,0.0489014
259299000,9029.69,795.905,3960,0.980158,0.990118,5.53012e-06,0,0,0,0,1,0.049807,0.901059,0.0491339
257062170,10867.2,5417.4,4020,0.97956,0.99002,0,0,0,0,1,0,0.0492164,0.901235,0.0495487
259299000,9101.2,1735.68,4020,0.979848,0.989859,6.64513e-06,0,0,0,0,1,0.0498871,0.900486,0.049627
257062170,11185.6,5656.13,4080,0.980047,0.99024,1.2806e-05,0,0,0,1,0,0.0473369,0.901745,0.050918
259299000,9381.46,2623.94,4080,0.979571,0.990209,9.23547e-06,0,0,0,0,1,0.0507478,0.911128,0.038124
257062170,11505.6,5896,4140,0.97971,0.99014,0,0,0,0,1,0,0.0394983,0.910376,0.050126
259299000,9947.5,3412.79,4140,0.979524,0.99024,1.51853e-05,0,0,0,0,1,0.0501127,0.914497,0.0353899
257062170,11821.4,6143.41,4200,0.979645,0.99039,1.29416e-05,0,0,0,1,0,0.0392138,0.910628,0.0501583
259299000,10497,4171.1,4200,0.979462,0.99033,1.14508e-05,0,0,0,0,1,0.0512184,0.91365,0.0351314
257062170,12129.7,6400.72,4260,0.980028,0.98994,1.29013e-05,0,0,0,1,0,0.0382956,0.910742,0.0509621
259299000,11073.6,4948.13,4260,0.97989,0.989146,1.68924e-05,0,0,0,0,1,0.0508951,0.913977,0.0351278
257062170,12433.6,6677.25,4320,0.969817,0.98982,1.7652e-05,0,0,0,1,0,0.0793376,0.872733,0.0479297
259299000,11713.3,5660.1,4320,0.979406,0.98485,2.36999e-05,0,0,0,0,1,0.0492855,0.898956,0.0517581
257062170,12697.2,7003.97,4380,0.969661,0.98993,1.72307e-05,0,0,0,1,0,0.0754996,0.876967,0.0475335
259299000,12360.5,6337.42,4380,0.979615,0.984666,2.18508e-05,0,0,0,0,1,0.0489654,0.90158,0.0494545
257062170,12899.9,7343.56,4440,0.969325,0.98978,1.97799e-05,0,0,0,1,0,0.0748551,0.877,0.0481448
259299000,12971,7092.89,4440,0.980933,0.98505,2.33481e-05,0,0,0,0,1,0.0500856,0.899915,0.0499989
257062170,13079.9,7734.5,4500,0.97035,0.99003,1.81306e-05,0,0,0,1,0,0.0693607,0.881553,0.0490866
259299000,13455.3,7900.79,4500,0.980075,0.985206,2.40043e-05,0,0,0,0,1,0.0516933,0.900227,0.04808
257062170,13221.9,8117.29,4560,0.970375,0.98979,3.95025e-05,0,0,0,1,0,0.0755839,0.875456,0.0489604
259299000,13921.5,8764.61,4560,0.979919,0.985002,2.4131e-05,0,0,0,0,1,0.0500242,0.905018,0.0449582
257062170,13211.6,8508.82,4620,0.970115,0.99039,4.66739e-07,0,0,0,1,0,0.0705968,0.886458,0.0429451
259299000,14183.7,9677.88,4620,0.98037,0.985262,2.54925e-05,0,0,0,0,1,0.0498514,0.899938,0.050211
257062170,13056.2,8774.11,4680,0.96899,0.98968,6.2949e-05,0,0,0,1,0,0.0669469,0.875979,0.0570739
259299000,14423.9,10628.9,4680,0.980101,0.984731,2.58546e-05,0,0,0,0,1,0.0489293,0.900103,0.0509673
257062170,12843.3,8908.22,4740,0.97217,0.990254,3.27608e-05,0,0,0,1,0,0.0753965,0.861483,0.0631203
259299000,14612.4,11556.2,4740,0.979592,0.985111,2.49303e-05,0,0,0,0,1,0.0496671,0.901279,0.0490541
