mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
211200040,7510.39,20545.8,120,0.713532,0.0128412,0.0129837,0,0,0,1,0,0.715955,0.269631,0.014414
212801000,8763.24,26462.1,120,0.97936,0.98982,0,0,0,0,0,1,0.0507401,0.89922,0.05004
211200040,7469.61,20455.3,180,0.689575,0,0.000177567,0,0,0,1,0,0.706108,0.28647,0.00742214
212801000,8772.25,26135.9,180,0.97963,0.98975,1.45296e-05,0,0,0,0,1,0.0502503,0.90015,0.0496002
211200040,7464.81,20321.3,240,0.683391,0,1,0,0,0,1,0,0.696807,0.285619,0.0175738
212801000,8781.21,25799.8,240,0.98062,0.99035,1.37401e-05,0,0,0,0,1,0.0502105,0.899089,0.0507004
211200040,7453.01,20166.8,300,0.703919,0,1,0,0,0,1,0,0.723077,0.276923,0
212801000,8801.4,25472.4,300,0.9803,0.9897,1.32061e-05,0,0,0,0,1,0.0503006,0.898919,0.0507803
211200040,7483.01,20020,360,0,0,1,0,0,0,1,0,1,0,0
212801000,8810.41,25135.1,360,0.98016,0.99029,5.78411e-06,0,0,0,0,1,0.0506099,0.898844,0.0505462
211200040,7537.85,19871.9,420,0.9818,0,1,0,0,0,1,0,1,0,0
212801000,8819.48,24801.8,420,0.98091,0.98968,0,0,0,0,0,1,0.05005,0.899269,0.0506809
211200040,7593.97,19732,480,0.985936,0,1,0,0,0,1,0,1,0,0
212801000,8839.75,24475.4,480,0.98008,0.98959,4.7499e-06,0,0,0,0,1,0.0496496,0.89986,0.0504904
211200040,7672.85,19601.4,540,0.994796,0,1,0,0,0,1,0,1,0,0
212801000,8848.85,24138.2,540,0.97991,0.98993,0,0,0,0,0,1,0.0497298,0.900651,0.0496196
211200040,7761.92,19479.3,600,0,0,1,0,0,0,1,0,1,0,0
212801000,8858.05,23813.1,600,0.980101,0.98955,7.44896e-06,0,0,0,0,1,0.0499593,0.90002,0.0500204
211200040,7863.36,19382.1,660,0.96237,0,1,0,0,0,1,0,1,0,0
212801000,8878.35,23477.7,660,0.980399,0.99003,5.42975e-06,0,0,0,0,1,0.0508577,0.900087,0.0490558
211200040,7969.67,19278.5,720,0.978665,0,1,0,0,0,1,0,1,0,0
212801000,8887.6,23152.3,720,0.979983,0.99017,5.26094e-06,0,0,0,0,1,0.0500435,0.900268,0.049689
211200040,8075.24,19182.9,780,0.981555,0,1,0,0,0,1,0,1,0,0
212801000,8896.83,22819.4,780,0.980283,0.98992,8.87115e-06,0,0,0,0,1,0.0495055,0.900006,0.0504885
211200040,8170.86,19079,840,0.981379,0,1,0,0,0,1,0,1,0,0
212801000,8916.28,22495.6,840,0.980856,0.99035,1.21915e-05,0,0,0,0,1,0.0496513,0.900435,0.0499134
