mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
210233000,11181.5,8894.92,4020,0.905658,0.99026,8.24453e-05,0,0.337567,0.662433,0,0,0.0376824,0.714905,0.247412
257207000,9776.88,12426.7,4020,0.904204,0.99036,5.16366e-05,0,0.34191,0.65809,0,0,0.0395189,0.714476,0.246005
210233000,11248.1,9240.18,4080,0.82828,0.98931,1.27379e-05,0,0.340622,0.659378,0,0,0.0283868,0.533677,0.437936
257207000,9842.41,12073.4,4080,0.82725,0.98975,9.30565e-06,0,0.341498,0.658502,0,0,0.0315525,0.531213,0.437235
210233000,11326.9,9596.76,4140,0,0.99065,1.45255e-05,0,0.337993,0.662007,0,0,0.0499615,0.899229,0.0508098
257207000,9897.79,11705.8,4140,0.751697,0.99002,0.000342392,0,0.334264,0.665736,0,0,0.0201397,0.353514,0.626346
210233000,11406.2,9953.09,4200,0,0.98968,1.34912e-05,0,0.337546,0.662454,0,0,0.049681,0.900706,0.0496132
257207000,9962.81,11348.4,4200,0.722182,0.99078,1.03253e-05,0,0.337868,0.662132,0,0,0.0168988,0.289629,0.693472
210233000,11479.9,10315.8,4260,0.710431,0.98991,0.000279223,0,0.337653,0.662347,0,0,0.0140265,0.261184,0.724789
257207000,10029.5,10979.8,4260,0.715492,0.99003,9.94365e-06,0,0.335743,0.664257,0,0,0.0145447,0.255354,0.730101
210233000,11542.2,10677.3,4320,0.979615,0.9901,2.2942e-05,0,0.337899,0.662101,0,0,0.0507175,0.899753,0.0495297
257207000,10082.7,10616.1,4320,0.980142,0.98977,3.06742e-05,0,0.339941,0.660059,0,0,0.0498363,0.899792,0.050372
210233000,11592.4,11035,4380,0.979322,0.99006,2.27583e-05,0,0.337561,0.662439,0,0,0.0496858,0.898882,0.051432
257207000,10123.1,10237.4,4380,0.98032,0.99026,1.53327e-05,0,0.339125,0.660875,0,0,0.0500397,0.898783,0.0511768
210233000,11610.1,11398.7,4440,0.97945,0.98982,1.17099e-05,0,0.338996,0.661004,0,0,0.0502895,0.899033,0.0506773
257207000,10167.5,9856.23,4440,0.980973,0.99031,1.75768e-05,0,0.341742,0.658258,0,0,0.0505201,0.898562,0.0509183
