mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
210445000,11767.8,3348.78,660,0.979551,0.98988,6.71955e-06,0,1,0,0,0,0.0503927,0.899521,0.0500861
219829000,16136.1,3974.71,660,0.0947492,0.0956834,0.0966515,1,0,0,0,0,0.0459737,0.900554,0.053472
210445000,12029,3233.85,720,0.979835,0.99016,6.17616e-06,0,1,0,0,0,0.0498904,0.896505,0.0536041
219829000,16069.8,3842.08,720,0,0.99016,0.000130643,1,0,0,0,0,0.0477489,0.904436,0.0478156
210445000,12290.3,3118.94,780,0.97882,0.99029,1.86098e-05,0,1,0,0,0,0.0487747,0.892861,0.0583643
219829000,16001.9,3706.59,780,0,0.99003,1.9254e-05,1,0,0,0,0,0.0521384,0.896041,0.0518205
210445000,12551.6,3004.1,840,0,0.99037,2.06132e-05,0,1,0,0,0,0.0489359,0.901523,0.0495413
219829000,15934.7,3573.71,840,0,0.98999,1.25677e-05,1,0,0,0,0,0.0491423,0.901174,0.0496841
210445000,12812.8,2889.21,900,0,0.98992,1.07246e-05,0,1,0,0,0,0.0495621,0.901452,0.0489861
219829000,15868.3,3440.95,900,0,0.99006,1.50624e-05,1,0,0,0,0,0.0490193,0.900611,0.05037
210445000,13074.1,2774.34,960,0,0.99001,1.123e-05,0,1,0,0,0,0.0496507,0.899547,0.0508025
219829000,15800.4,3306.51,960,0,0.99024,1.52196e-05,1,0,0,0,0,0.0500074,0.900487,0.0495055
210445000,13335.4,2659.55,1020,0,0.99009,1.74891e-05,0,1,0,0,0,0.0491771,0.899438,0.0513852
219829000,15736.6,3174.7,1020,0,0.99017,1.44485e-05,1,0,0,0,0,0.050777,0.89919,0.0500329
210445000,13595.7,2543.51,1080,0,0.98967,1.40021e-05,0,1,0,0,0,0.0502986,0.898693,0.0510085
219829000,15675.2,3041.86,1080,0,0.98986,1.51101e-05,1,0,0,0,0,0.0484777,0.902039,0.049483
210445000,13836.9,2377.43,1140,0,0.9909,1.41814e-05,0,1,0,0,0,0.0504724,0.901311,0.0482163
219829000,15611.9,2907.11,1140,0,0.99046,1.51656e-05,1,0,0,0,0,0.0516583,0.89802,0.0503214
210445000,14060.6,2197.88,1200,0,0.99002,1.52628e-05,0,1,0,0,0,0.0492583,0.901153,0.0495888
219829000,15548.8,2778.68,1200,0,0.99009,1.47199e-05,1,0,0,0,0,0.050658,0.900241,0.0491011
210445000,14284.2,2018.41,1260,0,0.9896,1.49554e-05,0,1,0,0,0,0.0495139,0.90101,0.0494763
219829000,15489.4,2644.22,1260,0,0.99047,1.52899e-05,1,0,0,0,0,0.0495996,0.899166,0.0512347
210445000,14507.9,1838.89,1320,0,0.9896,1.43848e-05,0,1,0,0,0,0.0513556,0.898554,0.0500899
219829000,15430.2,2509.81,1320,0,0.98984,1.478e-05,1,0,0,0,0,0.0491183,0.901607,0.0492745
210445000,14725.7,1641.24,1380,0,0.98998,3.98645e-05,0,1,0,0,0,0.052249,0.897651,0.0501004
219829000,15369.7,2376.47,1380,0,0.98948,1.51551e-05,1,0,0,0,0,0.048602,0.900946,0.0504515
210445000,14930.8,1435.43,1440,0,0.99005,1.47425e-05,0,1,0,0,0,0.0503139,0.899319,0.050367
219829000,15310.5,2239.07,1440,0,0.99001,1.4463e-05,1,0,0,0,0,0.0497298,0.900307,0.0499633
210445000,15142,1233.04,1500,0,0.99012,1.42846e-05,0,1,0,0,0,0.0490675,0.90103,0.0499026
219829000,15245.4,2105.73,1500,0,0.99008,1.5016e-05,1,0,0,0,0,0.0522198,0.899048,0.0487323
210445000,15339.1,1034.98,1560,0,0.99062,1.67113e-05,0,1,0,0,0,0.0502965,0.89808,0.0516235
219829000,15188.3,1970.29,1560,0,0.98989,1.44546e-05,1,0,0,0,0,0.0475442,0.902496,0.0499603
210445000,15575.1,886.504,1620,0,0.98995,1.42427e-05,0,1,0,0,0,0.0495987,0.899942,0.0504596
219829000,15123.7,1829.71,1620,0,0.9897,1.46615e-05,1,0,0,0,0,0.051219,0.897913,0.0508679
210445000,15829.7,760.973,1680,0,0.99008,1.52313e-05,0,1,0,0,0,0.0499923,0.900688,0.04932
219829000,15065.4,1694.38,1680,0,0.99028,1.45319e-05,1,0,0,0,0,0.051646,0.899099,0.0492547
210445000,16116.9,682.391,1740,0,0.98977,1.50821e-05,0,1,0,0,0,0.0498141,0.900244,0.0499422
219829000,14999.6,1557.98,1740,0.00689689,0.99013,0.00691158,1,0,0,0,0,0.0486562,0.900777,0.0505671
210445000,16393.6,728.921,1800,0,0.98977,1.44102e-05,0,1,0,0,0,0.0489892,0.901051,0.0499596
219829000,14940,1413.32,1800,0,0.99044,1.48585e-05,1,0,0,0,0,0.050511,0.89994,0.0495489
210445000,16686,787.681,1860,0,0.98965,1.46215e-05,0,1,0,0,0,0.0487157,0.899771,0.0515135
219829000,14876,1270.94,1860,0,0.98993,1.43634e-05,1,0,0,0,0,0.0495937,0.90099,0.0494162
210445000,16980,857.837,1920,0,0.99005,1.48051e-05,0,1,0,0,0,0.0515735,0.899213,0.0492137
219829000,14820.7,1132.31,1920,0.000474941,0.99034,0.000494553,1,0,0,0,0,0.0495891,0.899893,0.0505181
210445000,17285.7,931.203,1980,0,0.99005,1.51798e-05,0,1,0,0,0,0.049982,0.899698,0.0503199
219829000,14753.3,993.793,1980,0.00112579,0.99016,0.00114049,1,0,0,0,0,0.0509242,0.898053,0.0510228
210445000,17573.4,971.074,2040,0,0.98997,1.55827e-05,0,1,0,0,0,0.0506147,0.900218,0.0491678
219829000,14685.7,854.32,2040,0.000758121,0.99012,0.000772653,1,0,0,0,0,0.0503908,0.900381,0.0492278
210445000,17879.5,984.431,2100,0,0.99009,2.27939e-05,0,1,0,0,0,0.0490222,0.900584,0.0503936
219829000,14635.5,717.528,2100,0.000726917,0.99025,0.000741742,1,0,0,0,0,0.0488616,0.900833,0.0503053
210445000,18185.5,997.726,2160,0,0.99019,1.48938e-05,0,1,0,0,0,0.0518872,0.898629,0.0494836
219829000,14575.3,577.568,2160,0.000733879,0.9898,0.000749102,1,0,0,0,0,0.0487186,0.902941,0.0483408
210445000,18494.4,1008.69,2220,0,0.98974,1.47585e-05,0,1,0,0,0,0.0489895,0.902703,0.0483077
219829000,14515.2,437.603,2220,0.000864677,0.98999,0.000879849,1,0,0,0,0,0.0479803,0.902343,0.0496766
210445000,18809.5,1021.38,2280,0,0.99009,1.45242e-05,0,1,0,0,0,0.0501201,0.899203,0.0506769
219829000,14454.9,296.021,2280,0.000788636,0.99048,0.000803058,1,0,0,0,0,0.0491843,0.901505,0.0493109
