mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
210434000,16822.3,14190.6,4980,0.980095,0.99027,7.92881e-06,0.349018,0,0.650982,0,0,0.0507332,0.90006,0.0492072
211286440,10660,7431.96,4980,0.979811,0.99009,6.39281e-06,0,0.346509,0.653491,0,0,0.0488806,0.901293,0.0498261
210434000,16674.1,13984.2,5040,0.980921,0.99025,7.75165e-06,0.348304,0,0.651696,0,0,0.0503317,0.900023,0.0496449
211286440,10933.6,7670.4,5040,0.97941,0.98986,1.24612e-05,0,0.349324,0.650676,0,0,0.0495425,0.899829,0.0506287
210434000,16521.1,13780.6,5100,0.980251,0.9896,1.49883e-05,0.350369,0,0.649631,0,0,0.0495597,0.901412,0.0490283
211286440,11229,7900.65,5100,0.978522,0.9899,1.24229e-05,0,0.348738,0.651262,0,0,0.0501167,0.895433,0.0544501
210434000,16356.2,13590.1,5160,0,0.99022,1.15592e-05,0.348933,0,0.651067,0,0,0.0507746,0.899537,0.0496889
211286440,11499.4,8142.18,5160,0.977644,0.99007,1.0937e-05,0,0.346568,0.653432,0,0,0.0491799,0.893463,0.0573566
210434000,16169.1,13421.9,5220,0,0.99013,7.68634e-06,0.347964,0,0.652036,0,0,0.0499762,0.900934,0.0490894
211286440,11782.9,8378.69,5220,0.974193,0.99001,1.40308e-05,0,0.347451,0.652549,0,0,0.0485594,0.888073,0.0633674
210434000,15976.5,13261.8,5280,0,0.98985,9.88764e-06,0.350827,0,0.649173,0,0,0.0504815,0.89904,0.0504784
211286440,12065.1,8616.87,5280,0.970037,0.99007,8.01393e-06,0,0.351864,0.648136,0,0,0.048548,0.875532,0.0759197
210434000,15778.3,13095.1,5340,0,0.98981,6.84122e-06,0.349077,0,0.650923,0,0,0.0489046,0.901552,0.0495434
211286440,12346,8857.38,5340,0.96427,0.99011,8.86967e-06,0,0.351965,0.648035,0,0,0.0482796,0.861861,0.0898598
210434000,15593.8,12932.1,5400,0,0.98951,1.23378e-05,0.349886,0,0.650114,0,0,0.0485305,0.902581,0.0488886
211286440,12623.3,9099.56,5400,0.966666,0.991,1.87606e-05,0,0.350272,0.649728,0,0,0.0502135,0.863244,0.0865422
