mmsi,x,y,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
210169000,8487.16,16355.1,1800,0.977715,0,0,0.98985,3.4827e-05,0,0,1,0,0,0.0493692,0.888867,0.0617638
375219000,12809,14413.6,1800,0.978944,0,0,0.99032,5.70562e-08,0,0,1,0,0,0.0493204,0.896909,0.0537707
210169000,8889.45,16133.7,1860,0.970303,0,0,0.98973,4.42353e-05,0,0,1,0,0,0.0508524,0.897956,0.051192
375219000,12534.3,14520.5,1860,0.974976,0,0,0.98989,2.29424e-05,0,0,1,0,0,0.0507392,0.877041,0.0722199
210169000,9307.99,15904.8,1920,0.96369,0,0,0.98958,3.45137e-05,0,0,1,0,0,0.0500382,0.898815,0.0511472
375219000,12275.2,14630.9,1920,0.96672,0,0,0.99017,0,0,0,1,0,0,0.0460364,0.84934,0.104624
210169000,9756.32,15657.1,1980,0.962171,0,0,0.99017,1.95278e-05,0,0,1,0,0,0.0469943,0.903203,0.049803
375219000,12000.5,14738.8,1980,0.965505,0,0,0.98988,2.72726e-07,0,0,1,0,0,0.0473027,0.839817,0.112881
210169000,10193.8,15394,2040,0.944719,0,0,0.99029,9.5975e-07,0,0,1,0,0,0.059762,0.90934,0.0308979
375219000,11719,14840.3,2040,0.955628,0,0,0.98958,0,0,0,1,0,0,0.040807,0.802227,0.156966
210169000,10643,15118.2,2100,0.952032,0,0,0.99016,6.58281e-07,0,0,1,0,0,0.0992031,0.842808,0.0579887
375219000,11444.3,14947.3,2100,0.955102,0,0,0.99037,0,0,0,1,0,0,0.0512607,0.793771,0.154968
210169000,11093.9,14847.8,2160,0.961014,0,0,0.99004,4.27214e-05,0,0,1,0,0,0.0559813,0.887656,0.056363
375219000,11183,15048.7,2160,0.963802,0,0,0.99003,0.000162641,0,0,1,0,0,0.0466276,0.822429,0.130943
210169000,11546.9,14577.8,2220,0.962568,0,0,0.98949,5.52681e-07,0,0,1,0,0,0.0517494,0.903148,0.0451028
375219000,10884.6,15158,2220,0.962435,0,0,0.99043,0,0,0,1,0,0,0.0479487,0.822221,0.129831
210169000,12010,14301.8,2280,0.960591,0,0,0.98986,9.48074e-05,0,0,1,0,0,0.0556239,0.894643,0.049733
375219000,10632.5,15274.7,2280,0.963156,0,0,0.99018,0,0,0,1,0,0,0.0452414,0.818788,0.13597
210169000,12465.7,14030.9,2340,0.961878,0,0,0.99023,5.17888e-05,0,0,1,0,0,0.0537305,0.892822,0.0534478
375219000,10362.7,15415,2340,0.963874,0,0,0.99013,0,0,0,1,0,0,0.0540045,0.853582,0.0924131
210169000,12879.2,13782,2400,0.951138,0,0,0.99033,6.066e-07,0,0,1,0,0,0.0621991,0.887977,0.0498236
375219000,10110.1,15552.1,2400,0.962114,0,0,0.98992,1.40812e-06,0,0,1,0,0,0.0451243,0.855224,0.099652
210169000,13251.1,13535.4,2460,0.957598,0,0,0.98995,7.87122e-07,0,0,1,0,0,0.0458113,0.887115,0.0670739
375219000,9850.46,15693.3,2460,0.960594,0,0,0.990701,5.00094e-08,0,0,1,0,0,0.0463138,0.849685,0.104001
210169000,13532.3,13265.1,2520,0.956638,0,0,0.993913,5.64324e-07,0,0,1,0,0,0.0682775,0.872059,0.0596631
375219000,9610.01,15839,2520,0.961003,0,0,0.99325,1.54684e-06,0,0,1,0,0,0.0445243,0.856872,0.0986033
210169000,13739.4,12986.7,2580,0.95526,0,0,0.985123,9.08123e-07,0,0,1,0,0,0.0641198,0.897322,0.0385578
375219000,9349.94,15979.5,2580,0.959215,0,0,0.991292,0.000138988,0,0,1,0,0,0.0445474,0.857845,0.0976075
210169000,13909.2,12699.4,2640,0.959729,0,0,0.979767,5.77441e-07,0,0,1,0,0,0.0633657,0.877084,0.0595499
375219000,9109.92,16116.5,2640,0.960233,0,0,0.986703,4.04462e-07,0,0,1,0,0,0.0423829,0.85454,0.103077
210169000,14057.1,12421.2,2700,0.955797,0,0,0.979598,6.68693e-07,0,0,1,0,0,0.0405287,0.898997,0.0604746
375219000,8854.35,16265.1,2700,0.96166,0,0,0.987107,2.57903e-05,0,0,1,0,0,0.0518629,0.855969,0.0921683
210169000,14187.9,12154.8,2760,0.958729,0,0,0.995681,0.000121252,0,0,1,0,0,0.0456207,0.895066,0.0593138
375219000,8626.05,16436.3,2760,0.96089,0,0,0.993446,9.60191e-07,0,0,1,0,0,0.040782,0.855715,0.103503
210169000,14333.9,11880.5,2820,0.954092,0,0,0.991561,7.46458e-07,0,0,1,0,0,0.0299233,0.918312,0.0517649
375219000,8402.19,16628.1,2820,0.959193,0,0,0.986518,0.00012615,0,0,1,0,0,0.0462688,0.853296,0.100435
210169000,14465.8,11616.3,2880,0.96604,0,0,0.991238,4.86541e-05,0,0,1,0,0,0.0682565,0.891227,0.040517
375219000,8219.51,16862.1,2880,0.958722,0,0,0.99056,9.60158e-05,0,0,1,0,0,0.0503657,0.85254,0.097094
210169000,14646.4,11377.3,2940,0.959143,0,0,0.994091,7.75547e-07,0,0,1,0,0,0.0526805,0.883352,0.0639677
375219000,8087.18,17121.8,2940,0.959864,0,0,0.991785,3.46012e-05,0,0,1,0,0,0.0474632,0.838074,0.114463
210169000,14820.9,11177.1,3000,0.956153,0,0,0.993628,4.45638e-05,0,0,1,0,0,0.0361208,0.908528,0.0553516
375219000,7999.22,17384.7,3000,0.958418,0,0,0.986246,3.74945e-05,0,0,1,0,0,0.0499318,0.847665,0.102403
