mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
248375000,17093.4,7210.34,120,0.980038,0.98983,1.80252e-05,0,1,0,0,0,0.0504808,0.900249,0.0492703
257787000,19641,1040.62,120,0.979927,0.99005,2.70378e-05,1,0,0,0,0,0.0517597,0.898573,0.0496673
248375000,16873.1,7070.44,180,0.979923,0.99024,9.01254e-06,0,1,0,0,0,0.050906,0.900317,0.0487771
257787000,19278.8,1120.87,180,0.979879,0.99038,9.0126e-06,1,0,0,0,0,0.0499506,0.900101,0.0499489
248375000,16649.9,6927.25,240,0.980348,0.98988,0,0,1,0,0,0,0.0493137,0.900333,0.0503531
257787000,18919.3,1207.29,240,0.979887,0.98963,9.01244e-06,1,0,0,0,0,0.0494118,0.90057,0.0500184
248375000,16423.6,6782.51,300,0.97959,0.98934,0,0,1,0,0,0,0.0489651,0.900388,0.0506467
257787000,18567.3,1281.11,300,0.98097,0.9904,1.80245e-05,1,0,0,0,0,0.0507136,0.900445,0.0488412
248375000,16203.4,6639.82,360,0.980141,0.99064,9.01264e-06,0,1,0,0,0,0.0513632,0.89877,0.0498663
257787000,18193.3,1364.6,360,0.979416,0.9903,1.80247e-05,1,0,0,0,0,0.04998,0.89944,0.0505804
248375000,15969,6496.09,420,0.980773,0.99077,0,0,1,0,0,0,0.0497578,0.90006,0.0501817
257787000,17839.1,1441.44,420,0.980398,0.9903,2.70373e-05,1,0,0,0,0,0.0495494,0.899635,0.0508155
248375000,15749.8,6353.91,480,0.980389,0.98976,1.8026e-05,0,1,0,0,0,0.0492519,0.899865,0.0508827
257787000,17468.8,1527.45,480,0.979912,0.98998,9.01252e-06,1,0,0,0,0,0.0501337,0.898895,0.0509708
248375000,15525.9,6209.97,540,0.979693,0.99009,0,0,1,0,0,0,0.0509342,0.899497,0.0495687
257787000,17101.1,1604.88,540,0.980131,0.99046,1.80254e-05,1,0,0,0,0,0.0492485,0.902063,0.0486884
248375000,15288.2,6060.77,600,0.980141,0.99028,9.01252e-06,0,1,0,0,0,0.0509684,0.89823,0.0508015
257787000,16731.4,1686.65,600,0.98049,0.99002,0,1,0,0,0,0,0.0499095,0.901163,0.0489273
248375000,15057.8,5915.71,660,0.979961,0.99002,1.80251e-05,0,1,0,0,0,0.050322,0.898982,0.050696
257787000,16354.2,1765.51,660,0.980946,0.99074,9.01249e-06,1,0,0,0,0,0.0497039,0.900829,0.0494676
248375000,14830.6,5769.62,720,0.980954,0.98973,9.01259e-06,0,1,0,0,0,0.0494508,0.900218,0.0503312
257787000,15989.2,1847.17,720,0.979752,0.99045,0,1,0,0,0,0,0.0506266,0.900122,0.0492511
248375000,14613,5627.23,780,0.979568,0.98994,0,0,1,0,0,0,0.0490062,0.900947,0.0500468
257787000,15618.6,1926.81,780,0.980114,0.98986,0,1,0,0,0,0,0.0497133,0.900003,0.0502834
248375000,14395.3,5479.35,840,0.979822,0.99003,8.98438e-06,0,1,0,0,0,0.0500846,0.899219,0.0506966
257787000,15260.7,2006.81,840,0.980728,0.99005,9.32862e-06,1,0,0,0,0,0.0500072,0.90015,0.0498432
248375000,14175.2,5336.68,900,0.980354,0.98971,0,0,1,0,0,0,0.0500972,0.899492,0.0504104
257787000,14899.2,2083,900,0.980217,0.98985,9.00741e-06,1,0,0,0,0,0.0502671,0.900021,0.0497118
248375000,13949,5187.03,960,0.980034,0.9897,0,0,1,0,0,0,0.0508609,0.900305,0.0488338
257787000,14537.3,2159.75,960,0.980095,0.98966,0,1,0,0,0,0,0.0500208,0.899789,0.0501899
248375000,13728.8,5043.77,1020,0.979549,0.98974,1.72781e-05,0,1,0,0,0,0.0490288,0.899205,0.0517658
257787000,14174.7,2231.9,1020,0.979721,0.98962,8.99745e-06,1,0,0,0,0,0.0490598,0.900698,0.0502425
248375000,13506,4899.55,1080,0.980734,0.98981,9.15592e-06,0,1,0,0,0,0.0502233,0.899063,0.050714
257787000,13817.4,2301.91,1080,0.980039,0.99002,8.98911e-06,1,0,0,0,0,0.0491951,0.901406,0.0493989
248375000,13279.5,4751.13,1140,0.980152,0.99007,9.20731e-06,0,1,0,0,0,0.0496756,0.89938,0.0509446
257787000,13455.2,2374.44,1140,0.980081,0.99047,0,1,0,0,0,0,0.0487298,0.901323,0.0499469
248375000,13059.3,4610.8,1200,0.9792,0.98972,9.27446e-06,0,1,0,0,0,0.0501197,0.899633,0.0502476
257787000,13081.8,2451.12,1200,0.979704,0.98951,8.96989e-06,1,0,0,0,0,0.0493573,0.900404,0.050239
248375000,12833.2,4462.59,1260,0.97986,0.99007,9.37652e-06,0,1,0,0,0,0.0499137,0.897863,0.0522234
257787000,12726.3,2528.1,1260,0.979997,0.98987,1.79287e-05,1,0,0,0,0,0.0487382,0.901452,0.0498093
248375000,12630.1,4302.53,1320,0.980103,0.99022,1.04373e-05,0,1,0,0,0,0.0499127,0.907117,0.0429707
257787000,12368.5,2605.9,1320,0.979527,0.98968,7.86461e-06,1,0,0,0,0,0.0486881,0.901265,0.0500469
248375000,12495.5,4085.8,1380,0.979904,0.99025,1.79136e-05,0,1,0,0,0,0.0502968,0.905716,0.0439869
257787000,12015.2,2682.82,1380,0.98057,0.99027,0,1,0,0,0,0,0.0493084,0.900664,0.0500275
248375000,12364.2,3870.3,1440,0.979984,0.98985,8.97849e-06,0,1,0,0,0,0.050145,0.907989,0.0418656
257787000,11653.4,2762.1,1440,0.978891,0.99017,5.96748e-06,1,0,0,0,0,0.0469868,0.901563,0.0514504
248375000,12257.3,3620.65,1500,0.980109,0.98986,1.202e-05,0,1,0,0,0,0.0513426,0.906189,0.0424683
257787000,11311.7,2841.83,1500,0.980608,0.98946,1.79049e-05,1,0,0,0,0,0.0464205,0.904039,0.0495409
248375000,12091.4,3416.06,1560,0.980002,0.98965,8.46568e-06,0,1,0,0,0,0.0520187,0.905518,0.0424628
257787000,10945.3,2920.6,1560,0.98012,0.99025,1.7143e-05,1,0,0,0,0,0.0479301,0.901682,0.0503879
248375000,11869.5,3239.13,1620,0.979581,0.98983,1.54126e-05,0,1,0,0,0,0.0495014,0.908334,0.0421646
257787000,10585.4,3006.56,1620,0.979954,0.98981,0,1,0,0,0,0,0.0470098,0.903931,0.0490593
248375000,11629.3,3078.68,1680,0.979685,0.99019,9.39066e-06,0,1,0,0,0,0.0511122,0.906707,0.0421808
257787000,10221,3101.61,1680,0.98072,0.99052,1.58695e-05,1,0,0,0,0,0.0493353,0.901131,0.0495335
248375000,11387.9,2914.07,1740,0.979714,0.99035,1.24966e-05,0,1,0,0,0,0.0499575,0.907445,0.0425979
257787000,9849.85,3194.35,1740,0.980104,0.99018,5.09794e-06,1,0,0,0,0,0.0470824,0.903857,0.0490603
248375000,11136.9,2749.2,1800,0.980079,0.98951,1.11646e-05,0,1,0,0,0,0.0495291,0.908304,0.0421664
257787000,9482.77,3291.93,1800,0.980121,0.98995,5.39942e-06,1,0,0,0,0,0.0497762,0.900376,0.049848
248375000,10895.1,2593.21,1860,0.980173,0.99063,1.07371e-05,0,1,0,0,0,0.0495738,0.907809,0.0426171
257787000,9121.16,3396.71,1860,0.979756,0.99039,1.07883e-05,1,0,0,0,0,0.0480354,0.902255,0.0497096
248375000,10635,2440.8,1920,0.979607,0.99018,1.19219e-05,0,1,0,0,0,0.0506163,0.90699,0.0423934
257787000,8752.2,3502.97,1920,0.979783,0.9899,5.40146e-06,1,0,0,0,0,0.049303,0.900639,0.0500576
248375000,10382.6,2295.98,1980,0.979672,0.9899,1.21109e-05,0,1,0,0,0,0.050208,0.907532,0.0422602
257787000,8391.38,3607.75,1980,0.979505,0.98977,5.41001e-06,1,0,0,0,0,0.0469729,0.903204,0.049823
248375000,10122.1,2143.27,2040,0.979785,0.99032,9.44807e-06,0,1,0,0,0,0.0500272,0.908511,0.0414615
257787000,8030.12,3714.04,2040,0.979379,0.99003,0,1,0,0,0,0,0.0483602,0.902243,0.0493964
248375000,9869.28,1993.76,2100,0.980111,0.99003,1.12197e-05,0,1,0,0,0,0.0511241,0.906211,0.0426646
257787000,7657.39,3828.75,2100,0.980355,0.99002,1.03015e-05,1,0,0,0,0,0.0475993,0.90128,0.0511212
248375000,9602,1847.09,2160,0.97949,0.99021,1.03408e-05,0,1,0,0,0,0.050001,0.907489,0.0425095
257787000,7283.55,3939.9,2160,0.980333,0.99004,1.02968e-05,1,0,0,0,0,0.0486333,0.901538,0.0498285
248375000,9330.37,1695.3,2220,0.979707,0.99039,1.20949e-05,0,1,0,0,0,0.0514266,0.906094,0.0424792
257787000,6917.61,4043.43,2220,0.980384,0.98995,1.02967e-05,1,0,0,0,0,0.0482183,0.900995,0.0507866
248375000,9066.79,1550.37,2280,0.979538,0.9894,1.06264e-05,0,1,0,0,0,0.0502114,0.909019,0.0407692
257787000,6544.89,4152.48,2280,0.979626,0.99004,3.58905e-05,1,0,0,0,0,0.0481664,0.901675,0.0501582
248375000,8784.03,1408.01,2340,0.979746,0.99075,1.00739e-05,0,1,0,0,0,0.0508379,0.905878,0.0432846
257787000,6182.21,4264.44,2340,0.979976,0.98939,2.06078e-05,1,0,0,0,0,0.0470485,0.901548,0.0514034
248375000,8520.46,1268.96,2400,0.979791,0.99015,1.15433e-05,0,1,0,0,0,0.0487907,0.908164,0.043045
257787000,5809.49,4373.64,2400,0.980246,0.99008,1.5443e-05,1,0,0,0,0,0.0469879,0.903017,0.0499946
248375000,8237.72,1125.6,2460,0.979867,0.98954,1.10163e-05,0,1,0,0,0,0.0500206,0.909388,0.0405918
257787000,5438.78,4477.28,2460,0.980096,0.98918,1.03068e-05,1,0,0,0,0,0.0471461,0.902278,0.0505762
248375000,7974.39,987.104,2520,0.979897,0.99026,1.06312e-05,0,1,0,0,0,0.0504839,0.906155,0.0433609
257787000,5066.18,4584.74,2520,0.98056,0.99014,1.03042e-05,1,0,0,0,0,0.0467767,0.902008,0.0512154
248375000,7702.58,841.104,2580,0.97989,0.98984,1.09452e-05,0,1,0,0,0,0.0516256,0.905551,0.0428233
257787000,4700.27,4689.11,2580,0.97968,0.99,0,1,0,0,0,0,0.0461097,0.902754,0.0511359
248375000,7428.56,706.997,2640,0.979702,0.989482,9.85349e-06,0,1,0,0,0,0.0494043,0.907875,0.0427207
257787000,4319.42,4791.69,2640,0.979431,0.98998,4.56987e-06,1,0,0,0,0,0.0501163,0.901178,0.0487053
248375000,7160.78,570.173,2700,0.980011,0.99037,1.04271e-05,0,1,0,0,0,0.0505634,0.906509,0.0429273
