mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
219022165,-36269.5,-9754.03,660,0.979974,0.99053,0.000923441,0,0,0,1,0,0,0,0,0.0472854,0.90337,0.0493442,0.994697,0.994697
244150372,-36100.1,-6083.01,660,0.98031,0.99023,0.00102,0,0,0,0,1,0,0,0,0.05024,0.89978,0.04998,0.99295,0.99295
219022165,-36434.4,-9510.28,720,0.980103,0.9902,0.000796532,0,0,0,1,0,0,0,0,0.0486139,0.901285,0.0501014,0.996641,0.996284
244150372,-36213.6,-6234.63,720,0.980394,0.99007,0.00112674,0,0,0,0,1,0,0,0,0.0493159,0.897899,0.0527854,0.994366,0.992697
219022165,-36602.2,-9265.43,780,0.979756,0.99016,0.00106874,0,0,0,1,0,0,0,0,0.0467194,0.901516,0.0517645,0.998205,0.998205
244150372,-36326.6,-6386.09,780,0.979774,0.98986,0.000985888,0,0,0,0,1,0,0,0,0.0483082,0.897492,0.0541993,0.995954,0.994955
219022165,-36765.7,-9025.02,840,0.979871,0.98943,0.000921665,0,0,0,1,0,0,0,0,0.0456114,0.905379,0.0490096,0.998225,0.996302
244150372,-36445.8,-6535.2,840,0.980522,0.99007,0.000942933,0,0,0,0,1,0,0,0,0.0500608,0.894693,0.0552465,0.996266,0.992051
219022165,-36920,-8789.9,900,0.980142,0.98985,0.00105581,0,0,0,1,0,0,0,0,0.044733,0.90572,0.0495473,0.998056,0.996151
244150372,-36557.5,-6680.86,900,0.980104,0.99004,0.00112248,0,0,0,0,1,0,0,0,0.0488212,0.895647,0.0555318,0.996261,0.99184
219022165,-37084.6,-8550.98,960,0.979662,0.98999,0.00112965,0,0,0,1,0,0,0,0,0.0436158,0.906533,0.0498508,0.997976,0.988344
244150372,-36653.2,-6840.23,960,0.978643,0.9899,0.00123498,0,1,0,0,1,0,0,0,0.0512412,0.947547,0.00121143,0.996123,0.988879
219022165,-37081.8,-8285.14,1020,0.086383,0.98966,0.0789569,1,0,0,1,0,0,0,0,0.0509892,0.900321,0.0486897,0.990871,0.990562
244150372,-36756.9,-6997.21,1020,0.885608,0.904752,0.630102,0,1,0,0,1,0,0,0,0.0695594,0.884604,0.0458368,0.720272,0.720272
219022165,-36958.3,-8022.75,1080,0.0858307,0.9903,0.0872349,1,0,0,1,0,0,0,0,0.0463605,0.908007,0.045633,0.999779,0.998303
244150372,-36862.8,-7155.04,1080,0.9021,0.91565,0.634888,0,1,0,0,1,0,0,0,0.0422154,0.913856,0.0439284,0.712635,0.712199
219022165,-36826.7,-7768.89,1140,0.139846,0.98955,0.141128,1,0,0,1,0,0,0,0,0.0431861,0.913373,0.0434406,0.999746,0.998533
244150372,-36964.5,-7312.63,1140,0.912505,0.912547,0.621198,0,1,0,0,1,0,0,0,0.0533098,0.899259,0.0474316,0.691967,0.691048
219022165,-36743.7,-7499.54,1200,0,0.98987,0.00148259,1,0,0,1,0,0,0,0,0.0486631,0.90228,0.0490567,0.999729,0.998868
244150372,-37062.5,-7470.77,1200,0.9046,0.915962,0.592587,0,1,0,0,1,0,0,0,0.0579036,0.897804,0.044292,0.670885,0.670617
219022165,-36721.9,-7213.36,1260,0.167913,0.99009,0.169147,1,0,0,1,0,0,0,0,0.0431914,0.915288,0.0415202,0.999681,0.99839
244150372,-37145.7,-7575.23,1260,0.904169,0.919391,0.539811,0,1,0,0,1,0,0,0,0.0309942,0.92894,0.0400654,0.614253,0.613551
219022165,-36739.1,-6925.13,1320,0,0.98988,0.00150598,1,0,0,1,0,0,0,0,0.0522586,0.897833,0.0499083,0.999747,0.998064
244150372,-37225.5,-7669.94,1320,0.894716,0.905215,0.674681,0,1,0,0,1,0,0,0,0.0389181,0.892067,0.0690148,0.762071,0.761058
219022165,-36778.6,-6638.45,1380,0.289026,0.98975,0.290093,1,0,0,1,0,0,0,0,0.0351929,0.929803,0.0350046,0.999836,0.998726
244150372,-37305.3,-7764.65,1380,0.90762,0.91738,0.574404,0,1,0,0,1,0,0,0,0.0303461,0.902707,0.0669465,0.65143,0.650698
219022165,-36821.3,-6356.3,1440,0.383543,0.98947,0.384473,1,0,0,1,0,0,0,0,0.030844,0.938049,0.0311067,0.999725,0.998879
244150372,-37385.1,-7859.37,1440,0.872821,0.884533,0.633822,0,1,0,0,1,0,0,0,0.0560085,0.908798,0.0351939,0.742849,0.74208
219022165,-36866.5,-6071.68,1500,0,0.99011,0.00152327,1,0,0,1,0,0,0,0,0.048252,0.899698,0.0520502,0.999596,0.997026
244150372,-37464.9,-7954.09,1500,0.910759,0.920843,0.564163,0,1,0,0,1,0,0,0,0.0313273,0.903304,0.0653685,0.637244,0.636083
