mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,is_changing_course,start
211237730,24416.9,-560.67,5460,0.989617,0.98975,0.000175684,0,0,0,0,1,0,0,0,0.0502247,0.900907,0.0488687,0.275635,0.275635,0,0
261146000,31764.8,5705.41,5460,0.989883,0.98993,0.000121774,0,0,0,1,0,0,0,0,0.0498875,0.900075,0.0500372,0.273925,0.273925,1,0
211237730,24570.4,-651.766,5520,0.98641,0.9902,7.0531e-05,1,0,0,0,1,0,0,0,0.0507025,0.899305,0.0499921,0.00399851,0.00399851,1,0
261146000,31633.2,5629.99,5520,0.98568,0.98963,0.000100507,1,0,0,1,0,0,0,0,0.049659,0.900168,0.0501726,0.00393308,0.00393308,1,0
211237730,24724.3,-763.354,5580,0.989841,0.9896,7.87689e-05,0,0,0,0,1,0,0,0,0.0486633,0.900377,0.05096,0.277419,0.277419,0,0
261146000,31490.3,5556.6,5580,0.989886,0.989988,0.000159657,0,1,0,1,0,0,0,0,0.0503795,0.898397,0.0512235,0.000243349,0.000243349,1,0
211237730,24915.7,-843.403,5640,0.990285,0.989752,0.000189249,0,1,0,0,1,0,0,0,0.0491663,0.900384,0.0504502,0.000132602,0.000132602,1,0
261146000,31357.5,5465.7,5640,0.990616,0.99024,0.000187685,0,0,0,1,0,0,0,0,0.0497959,0.899914,0.0502905,0.276484,0.276484,1,0
211237730,25080.7,-875.902,5700,0.989973,0.990403,0.000160458,0,1,0,0,1,0,0,0,0.0489395,0.901451,0.049609,7.4151e-05,7.4151e-05,1,0
261146000,31211.9,5375.29,5700,0.990282,0.98981,6.62224e-05,0,0,0,1,0,0,0,0,0.0501517,0.900217,0.0496311,0.279183,0.279183,1,0
211237730,25228.5,-907.151,5760,0.986086,0.99031,8.88843e-05,1,0,0,0,1,0,0,0,0.0496512,0.900871,0.0494773,0.00414166,0.00414166,1,0
261146000,31075.2,5275.04,5760,0.990056,0.98987,6.60353e-05,0,0,0,1,0,0,0,0,0.0505762,0.899796,0.049628,0.277148,0.277148,1,0
211237730,25403.7,-957.457,5820,0.985741,0.98983,7.4364e-05,0,0,1,0,1,0,0,0,0.0495982,0.899351,0.0510505,0.00401243,0.00401243,1,0
261146000,30942.1,5181.74,5820,0.989776,0.98993,9.39916e-05,0,0,0,1,0,0,0,0,0.0505598,0.898705,0.0507354,0.277863,0.277863,1,0
211237730,25593.1,-1001.5,5880,0.989893,0.99084,7.06252e-05,0,0,0,0,1,0,0,0,0.0511262,0.900115,0.0487586,0.277506,0.277506,0,0
261146000,30813.9,5095.21,5880,0.989541,0.99053,7.50815e-05,0,0,0,1,0,0,0,0,0.0503479,0.898834,0.0508183,0.280077,0.280077,1,0
