mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
236555000,50273.8,89641.2,3720,0.9804,0.99012,4e-05,0,0,0,1,0,1,0,0,0,0.05049,0.89893,0.05058,0.99966,0.99966,0
246878000,42469.8,84771.8,3720,0.97997,0.99029,2.81488e-05,0,0,0,0,1,0,0,0,0,0.0507912,0.898089,0.05112,1,1,0
236555000,50036.5,89727.6,3780,0.98005,0.99001,5.26018e-05,0,0,0,0,0,1,0,0,0,0.0508645,0.89957,0.049565,0.999762,0.999762,1
246878000,42678.7,85129.5,3780,0.97937,0.9896,3.75323e-05,0,0,0,0,1,0,0,0,0,0.0482441,0.900444,0.0513115,1,1,0
236555000,49799.9,89813.1,3840,0.979819,0.99005,1.50135e-05,0,0,0,0,0,1,0,0,0,0.0494306,0.900662,0.0499072,0.99999,0.99997,0
246878000,42898,85492,3840,0.97932,0.9901,2.61215e-05,0,0,0,0,1,0,0,0,0,0.0509775,0.898353,0.05067,1,0.99938,0
236555000,49559.1,89904.9,3900,0.979785,0.98952,3.17423e-05,0,0,0,0,0,1,0,0,0,0.0505129,0.899349,0.0501378,0.99998,0.999919,0
246878000,43103.7,85844.5,3900,0.97891,0.99006,1.60709e-05,0,0,0,0,1,0,0,0,0,0.049644,0.89921,0.0511461,1,0.99905,0
236555000,49322.2,89992.8,3960,0.979782,0.99074,0,0,0,0,1,0,1,0,0,0,0.0509442,0.899055,0.050001,1,0.99991,0
246878000,43312.4,86205.8,3960,0.980118,0.98966,1.48393e-05,0,0,0,0,1,0,0,0,0,0.0494617,0.900831,0.0497071,1,1,0
236555000,49080.5,90088.4,4020,0.979527,0.9899,5.56729e-06,0,0,0,0,0,1,0,0,0,0.0489437,0.89952,0.0515361,0.999979,0.999688,0
246878000,43526.4,86567.3,4020,0.980016,0.98911,4.804e-05,0,0,0,0,1,0,0,0,0,0.048198,0.902043,0.0497591,1,1,0
236555000,48852.5,90174.8,4080,0.980376,0.9903,5.56702e-06,0,0,0,1,0,1,0,0,0,0.0496113,0.897961,0.0524275,1,1,0
