mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
219022165,-35756.4,-10790.5,420,1,0.99001,0,1,0,0,0,0,1,0,0,1,1
244150372,-35561.6,-5609.04,420,1,0.99059,0,0,1,0,0,0,0.0498235,0.900565,0.0496112,1,1
219022165,-35833.8,-10507.1,480,1,0.9898,0,1,0,0,0,0,1,0,0,1,1
244150372,-35728.4,-5680.69,480,1,0.99027,0,0,1,0,0,0,0.04901,0.901727,0.0492628,1,1
219022165,-35958.2,-10242.8,540,1,0.98967,0,1,0,0,0,0,1,0,0,1,1
244150372,-35855.5,-5810.48,540,1,0.99689,0,0,1,0,0,0,0.0493238,0.900904,0.0497727,1,1
219022165,-36116,-9994.7,600,1,0.99036,0,1,0,0,0,0,1,0,0,1,1
244150372,-35990.8,-5941.13,600,1,0.997737,0,0,1,0,0,0,0.0497138,0.901203,0.0490829,1,1
219022165,-36269.5,-9754.03,660,1,0.99015,0,1,0,0,0,0,1,0,0,1,1
244150372,-36100.1,-6083.01,660,1,0.998966,0,0,1,0,0,0,0.0504631,0.898789,0.0507478,1,0.998556
219022165,-36434.4,-9510.28,720,1,0.9901,0,1,0,0,0,0,1,0,0,1,1
244150372,-36213.6,-6234.63,720,1,0.998298,0,0,1,0,0,0,0.0506931,0.899044,0.0502628,1,1
219022165,-36602.2,-9265.43,780,1,0.99026,0,1,0,0,0,0,1,0,0,1,1
244150372,-36326.6,-6386.09,780,1,0.998526,0,0,1,0,0,0,0.05076,0.899435,0.0498051,1,1
219022165,-36765.7,-9025.02,840,1,0.99037,0,1,0,0,0,0,1,0,0,1,1
244150372,-36445.8,-6535.2,840,1,1,0,0,1,0,0,0,0.0484825,0.901743,0.0497749,1,1
219022165,-36920,-8789.9,900,1,0.98999,0,1,0,0,0,0,1,0,0,1,1
244150372,-36557.5,-6680.86,900,1,1,0,0,1,0,0,0,0.0508979,0.89963,0.0494719,1,1
219022165,-37084.6,-8550.98,960,1,0.99011,0,1,0,0,0,0,1,0,0,1,1
244150372,-36653.2,-6840.23,960,1,0.998264,0,0,1,0,0,0,0.050118,0.899999,0.0498829,1,1
219022165,-37081.8,-8285.14,1020,1,0.992827,0,1,0,0,0,0,1,0,0,1,1
244150372,-36756.9,-6997.21,1020,1,1,0,0,1,0,0,0,0.0504782,0.898747,0.0507744,1,1
219022165,-36958.3,-8022.75,1080,1,0.992162,0,1,0,0,0,0,1,0,0,1,1
244150372,-36862.8,-7155.04,1080,1,1,0,0,1,0,0,0,0.0498766,0.900002,0.0501213,1,1
219022165,-36826.7,-7768.89,1140,1,0.986553,0,1,0,0,0,0,1,0,0,1,1
244150372,-36964.5,-7312.63,1140,1,0.994886,0,0,1,0,0,0,0.0509886,0.897879,0.0511326,1,1
219022165,-36743.7,-7499.54,1200,1,0.990497,0,1,0,0,0,0,1,0,0,1,1
244150372,-37062.5,-7470.77,1200,1,0.996911,0,0,1,0,0,0,0.0489386,0.900918,0.0501432,1,1
219022165,-36721.9,-7213.36,1260,1,0.990858,0,1,0,0,0,0,1,0,0,1,1
244150372,-37145.7,-7575.23,1260,1,1,0,0,1,0,0,0,0.0498064,0.900566,0.0496272,1,1
219022165,-36739.1,-6925.13,1320,1,0.988527,0,1,0,0,0,0,1,0,0,1,1
244150372,-37225.5,-7669.94,1320,1,0.994818,0,0,1,0,0,0,0.051753,0.898248,0.0499995,1,1
219022165,-36778.6,-6638.45,1380,1,0.993193,0,1,0,0,0,0,1,0,0,1,1
244150372,-37305.3,-7764.65,1380,1,0.993101,0,0,1,0,0,0,0.050689,0.899445,0.0498657,1,1
219022165,-36821.3,-6356.3,1440,1,0.98222,0,1,0,0,0,0,1,0,0,1,1
244150372,-37385.1,-7859.37,1440,1,0.998266,0,0,1,0,0,0,0.0496519,0.901455,0.0488934,1,1
219022165,-36866.5,-6071.68,1500,1,0.991278,0,1,0,0,0,0,1,0,0,1,1
244150372,-37464.9,-7954.09,1500,1,0.996607,0,0,1,0,0,0,0.0505884,0.898069,0.0513429,1,1
