mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
219022165,-36116,-9994.7,600,0.980496,0.99029,0,1,0,0,0,0,0.0482861,0.901694,0.05002
244150372,-35990.8,-5941.13,600,0.979074,0.98984,2.57314e-05,0,1,0,0,0,0.0495328,0.898821,0.0516461
219022165,-36269.5,-9754.03,660,0.979724,0.98987,1.96403e-05,1,0,0,0,0,0.0477961,0.902425,0.0497788
244150372,-36100.1,-6083.01,660,0.979932,0.98978,6.00404e-06,0,1,0,0,0,0.0500014,0.898113,0.0518854
219022165,-36434.4,-9510.28,720,0.980041,0.98992,9.78469e-06,1,0,0,0,0,0.0468692,0.903053,0.0500774
244150372,-36213.6,-6234.63,720,0.979543,0.98987,1.16595e-05,0,1,0,0,0,0.0502165,0.895539,0.0542446
219022165,-36602.2,-9265.43,780,0.9811,0.99016,3.88542e-05,1,0,0,0,0,0.0431648,0.907295,0.0495405
244150372,-36326.6,-6386.09,780,0.979958,0.98986,7.01934e-06,0,1,0,0,0,0.0495541,0.893701,0.0567444
219022165,-36765.7,-9025.02,840,0.98038,0.99028,9.56376e-06,1,0,0,0,0,0.0442709,0.905323,0.0504059
244150372,-36445.8,-6535.2,840,0.980059,0.98982,1.22175e-05,0,1,0,0,0,0.0493751,0.893599,0.0570262
219022165,-36920,-8789.9,900,0.979987,0.98982,9.67216e-06,1,0,0,0,0,0.0428695,0.906681,0.05045
244150372,-36557.5,-6680.86,900,0.978829,0.98989,0,0,1,0,0,0,0.0510346,0.891131,0.0578341
219022165,-37084.6,-8550.98,960,0.980364,0.99058,9.3502e-06,1,0,0,0,0,0.0418494,0.907763,0.0503873
244150372,-36653.2,-6840.23,960,0.979705,0.99041,1.953e-05,0,1,0,0,0,0.0500979,0.890635,0.0592673
219022165,-37081.8,-8285.14,1020,0,0.98972,1.61866e-05,1,0,0,0,0,0.0502153,0.899147,0.0506381
244150372,-36756.9,-6997.21,1020,0.812511,0.98979,1.8252e-05,0,1,0,0,0,0.018771,0.30897,0.672259
219022165,-36958.3,-8022.75,1080,0,0.98953,1.25709e-05,1,0,0,0,0,0.0495619,0.899582,0.0508566
244150372,-36862.8,-7155.04,1080,0.782223,0.99019,2.47001e-05,0,1,0,0,0,0.0121535,0.235885,0.751962
219022165,-36826.7,-7768.89,1140,0,0.98998,1.61617e-05,1,0,0,0,0,0.04763,0.901375,0.0509952
244150372,-36964.5,-7312.63,1140,0.770838,0.98932,1.66353e-05,0,1,0,0,0,0.00973684,0.203519,0.786744
219022165,-36743.7,-7499.54,1200,0.979712,0.98979,4.30832e-05,1,0,0,0,0,0.04871,0.900286,0.0510039
244150372,-37062.5,-7470.77,1200,0.97971,0.99043,1.21037e-05,0,1,0,0,0,0.0503965,0.877851,0.0717522
219022165,-36721.9,-7213.36,1260,0.97981,0.98923,1.9417e-05,1,0,0,0,0,0.0496071,0.90166,0.0487332
244150372,-37145.7,-7575.23,1260,0.979999,0.99016,2.20792e-05,0,1,0,0,0,0.0494786,0.878813,0.0717088
219022165,-36739.1,-6925.13,1320,0.98016,0.99059,0,1,0,0,0,0,0.0527865,0.897064,0.0501498
244150372,-37225.5,-7669.94,1320,0.980616,0.98999,5.94421e-06,0,1,0,0,0,0.0487628,0.879301,0.0719363
219022165,-36778.6,-6638.45,1380,0.980464,0.99,8.57687e-06,1,0,0,0,0,0.0485289,0.90094,0.0505316
244150372,-37305.3,-7764.65,1380,0.980341,0.99041,5.01894e-07,0,1,0,0,0,0.0491413,0.879383,0.0714755
219022165,-36821.3,-6356.3,1440,0.979458,0.99003,2.58621e-05,1,0,0,0,0,0.0500085,0.900452,0.0495393
244150372,-37385.1,-7859.37,1440,0.980066,0.98965,1.57526e-05,0,1,0,0,0,0.0474136,0.90043,0.0521563
219022165,-36866.5,-6071.68,1500,0.980245,0.98991,1.78151e-05,1,0,0,0,0,0.0538565,0.896128,0.0500152
244150372,-37464.9,-7954.09,1500,0.979946,0.98985,1.61219e-06,0,1,0,0,0,0.0493259,0.898298,0.0523761
