mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision
255805883,14748.4,83734.9,2400,0.979953,0.985171,0,0,1,0,0,0,0.0484896,0.876874,0.0746367,1
259490000,14079.6,97229.1,2400,0.95982,0.984773,2.25062e-05,0.0655184,0,0.934482,0,0,0.0953456,0.90314,0.00151485,0.999531
255805883,14960.3,84131.9,2460,0.97884,0.985177,1.45326e-05,0,1,0,0,0,0.0470242,0.874945,0.078031,0.97971
259490000,14271,96606.4,2460,0.909087,0.984836,4.5349e-05,0.0548069,0,0.945193,0,0,0.0927631,0.903558,0.00367875,0.980775
255805883,15156.6,84536.7,2520,0.975243,0.985989,3.0906e-05,0,1,0,0,0,0.0477653,0.858546,0.0936889,0.994417
259490000,14457.5,95946.8,2520,0.848904,0.984015,0.000151167,0.0688408,0,0.931159,0,0,0.101016,0.893389,0.00559414,0.993576
255805883,15374.4,84933.4,2580,0.971295,0.985694,1.70565e-05,0,1,0,0,0,0.0450515,0.847553,0.107396,0.987333
259490000,14652.6,95282.1,2580,0.50596,0.984575,0.000326703,0.406334,0,0.593666,0,0,0.086065,0.894253,0.019682,0.978594
255805883,15598.2,85339.2,2640,0.971959,0.985262,3.71852e-05,0,1,0,0,0,0.046777,0.841911,0.111312,0.969455
259490000,14847,94616.3,2640,0.00145366,0.986605,0.00147665,0.978969,0,0.021031,0,0,0.0493284,0.911896,0.0387752,0.969647
255805883,15761.2,85745.3,2700,0.958372,0.986188,3.86727e-05,0,1,0,0,0,0.0403394,0.784373,0.175288,0.997786
259490000,15058.6,93938.2,2700,0,0.985638,2.48978e-05,0.97925,0,0.0207495,0,0,0.0505927,0.906703,0.0427041,0.997878
255805883,15838.5,86167.6,2760,0.946761,0.971534,8.04103e-05,0,1,0,0,0,0.0535799,0.941125,0.00529485,0.9883
259490000,15271,93249.7,2760,0,0.0179495,0.00162661,0.983301,0,0.0166989,0,0,0.0498319,0.897634,0.0525338,0.969973
255805883,15891.9,86580.8,2820,0.948637,0.971036,7.04686e-05,0,1,0,0,0,0.0540281,0.940309,0.00566309,0.60549
259490000,15553,92588.7,2820,0.0730235,0.0916398,0.0743812,0.967752,0,0.0322478,0,0,0.0528264,0.905318,0.0418554,0.618837
255805883,15912.3,87013.2,2880,0.947914,0.971626,7.82865e-05,0,1,0,0,0,0.0513005,0.943254,0.00544534,0.600953
259490000,15931.8,91938,2880,0.0541636,0.0721639,0.0557781,0.975484,0,0.0245155,0,0,0.0557005,0.908,0.0362995,0.605679
255805883,15942.7,87437.8,2940,0.94759,0.973029,7.79225e-05,0,1,0,0,0,0.0533536,0.941126,0.00552046,0.718467
259490000,16292.1,91285.8,2940,0.0923019,0.0937547,0.0937695,0.92857,0,0.0714298,0,0,0.057069,0.886265,0.0566656,0.756987
255805883,15983.8,87875,3000,0.946831,0.972219,8.30582e-05,0,1,0,0,0,0.0508153,0.943541,0.00564346,0.768218
259490000,16670.6,90610.1,3000,0.292321,0.297354,0.297406,0.999894,0,0.000105588,0,0,0.347815,0.651921,0.000264169,0.388157
255805883,16083.3,88312.6,3060,0.94877,0.971041,8.57849e-05,0,1,0,0,0,0.0540845,0.940498,0.0054175,0.84789
259490000,17019.9,89952.4,3060,0.0363306,0.0372399,0.037249,0.99998,0,1.95138e-05,0,0,0.00875867,0.991194,4.74282e-05,0.999868
255805883,16242.8,88733.1,3120,0.949048,0.971877,8.44731e-05,0,1,0,0,0,0.0513531,0.943128,0.00551911,0.905609
259490000,17381.8,89278.2,3120,0.0182819,0.0186956,0.0186997,0.999992,0,8.4142e-06,0,0,2.11356e-05,0.999958,2.09401e-05,0.999954
255805883,16471.3,89116.5,3180,0.947502,0.970437,8.70645e-05,0,1,0,0,0,0.047123,0.947277,0.00559972,0.8809
259490000,17750.9,88581.2,3180,0.956189,0.999568,1,0.999107,0,0.00089277,0,0,0.00221356,0.995648,0.00213821,0.995141
255805883,16716.5,89503,3240,0.948087,0.970022,8.35748e-05,0,1,0,0,0,0.04815,0.946209,0.0056413,0.891395
259490000,18122.3,87900.7,3240,0.0255745,0.025896,0.0258992,0.999994,0,6.30468e-06,0,0,1.6104e-05,0.999967,1.66263e-05,0.025864
255805883,16966.3,89883.7,3300,0.948987,0.97062,8.43096e-05,0,1,0,0,0,0.0521597,0.942363,0.00547773,0.88402
259490000,18489.9,87213.9,3300,0.964115,0.999641,1,0.999279,0,0.000720589,0,0,0.00179438,0.996375,0.0018305,0.996041
255805883,17219.8,90260.6,3360,0.949977,0.97223,8.22527e-05,0,1,0,0,0,0.0472667,0.947359,0.00537391,0.909101
259490000,18859.3,86518.2,3360,0.983887,0.99984,1,0.999686,0,0.000314395,0,0,0.163528,0.38337,0.453102,0.998644
255805883,17471,90636,3420,0.94846,0.970373,8.37232e-05,0,1,0,0,0,0.0526609,0.941952,0.00538677,0.919066
259490000,19223.4,85829.3,3420,0.982896,0.999828,1,0.999681,0,0.000319074,0,0,0.165501,0.83364,0.000859246,0.998621
255805883,17729.1,91019,3480,0.946309,0.968841,8.74494e-05,0,1,0,0,0,0.0508751,0.943523,0.00560145,0.91821
259490000,19598.3,85118.3,3480,0.950725,0.999513,1,0.998991,0,0.0010087,0,0,0.00247406,0.995048,0.00247806,0.995923
255805883,17984.8,91391.9,3540,0.948696,0.969676,8.08368e-05,0,1,0,0,0,0.0584576,0.936048,0.00549434,0.88789
259490000,19962.6,84431.7,3540,0.956871,0.999563,1,0.999166,0,0.00083432,0,0,0.00216844,0.995599,0.00223228,0.995181
