mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
219022165,-36116,-9994.7,600,0.979823,0.99011,9.81336e-06,1,0,0,0,0,0.0471356,0.904087,0.0487774
244150372,-35990.8,-5941.13,600,0.980441,0.98995,1.28932e-05,0,1,0,0,0,0.0500886,0.897419,0.0524919
219022165,-36269.5,-9754.03,660,0.979467,0.99025,0,1,0,0,0,0,0.0474498,0.902639,0.0499108
244150372,-36100.1,-6083.01,660,0.98095,0.98994,8.34225e-06,0,1,0,0,0,0.0501036,0.895596,0.0543008
219022165,-36434.4,-9510.28,720,0.979846,0.99005,1.93612e-05,1,0,0,0,0,0.0465322,0.904075,0.0493924
244150372,-36213.6,-6234.63,720,0.979357,0.98981,1.54148e-05,0,1,0,0,0,0.0520643,0.947112,0.000823841
219022165,-36602.2,-9265.43,780,0.979775,0.98989,9.4673e-06,1,0,0,0,0,0.0439659,0.906042,0.0499918
244150372,-36326.6,-6386.09,780,0.980008,0.98998,1.10132e-05,0,1,0,0,0,0.0489204,0.893793,0.0572862
219022165,-36765.7,-9025.02,840,0.979727,0.99064,1.90299e-05,1,0,0,0,0,0.0432915,0.905985,0.0507235
244150372,-36445.8,-6535.2,840,0.980126,0.98977,1.67661e-05,0,1,0,0,0,0.0510474,0.890374,0.0585782
219022165,-36920,-8789.9,900,0.979187,0.98965,1.90626e-05,1,0,0,0,0,0.0425221,0.906246,0.0512317
244150372,-36557.5,-6680.86,900,0.979032,0.99055,1.85938e-05,0,1,0,0,0,0.049495,0.892048,0.0584568
219022165,-37084.6,-8550.98,960,0.979615,0.99015,9.48342e-06,1,0,0,0,0,0.0419146,0.907768,0.050317
244150372,-36653.2,-6840.23,960,0.979512,0.99024,1.44396e-05,0,1,0,0,0,0.0529675,0.946647,0.000385292
219022165,-37081.8,-8285.14,1020,0,0.98996,1.67343e-05,1,0,0,0,0,0.0478421,0.902846,0.0493114
244150372,-36756.9,-6997.21,1020,0.0633733,0.0641145,0.0648068,0,1,0,0,0,0.0578786,0.89409,0.0480314
219022165,-36958.3,-8022.75,1080,0,0.99049,1.43487e-05,1,0,0,0,0,0.0492816,0.899514,0.0512039
244150372,-36862.8,-7155.04,1080,0.0581409,0.0586208,0.059221,0,1,0,0,0,0.0474234,0.902253,0.0503236
219022165,-36826.7,-7768.89,1140,0,0.98962,1.44662e-05,1,0,0,0,0,0.0506538,0.899841,0.0495054
244150372,-36964.5,-7312.63,1140,0.000673687,0.000734872,0.00142322,0,1,0,0,0,0.0507572,0.910232,0.0390104
219022165,-36743.7,-7499.54,1200,0,0.98942,1.47549e-05,1,0,0,0,0,0.0499633,0.899762,0.0502743
244150372,-37062.5,-7470.77,1200,0.000669704,0.00210644,0.0027908,0,1,0,0,0,0.0504513,0.893164,0.0563847
219022165,-36721.9,-7213.36,1260,0,0.98979,1.45829e-05,1,0,0,0,0,0.050994,0.899341,0.049665
244150372,-37145.7,-7575.23,1260,0.227615,0.22838,0.228958,0,1,0,0,0,0.0430888,0.93074,0.0261711
219022165,-36739.1,-6925.13,1320,0,0.99046,1.53805e-05,1,0,0,0,0,0.0510038,0.899245,0.0497508
244150372,-37225.5,-7669.94,1320,0.000689724,0.000989658,0.00169355,0,1,0,0,0,0.0501699,0.884415,0.0654154
219022165,-36778.6,-6638.45,1380,0.00311335,0.99006,0.00312802,1,0,0,0,0,0.0507098,0.899302,0.0499879
244150372,-37305.3,-7764.65,1380,0.000735094,0.00179343,0.00254305,0,1,0,0,0,0.046107,0.89863,0.0552629
219022165,-36821.3,-6356.3,1440,0,0.99022,1.50268e-05,1,0,0,0,0,0.0512938,0.898565,0.0501416
244150372,-37385.1,-7859.37,1440,0.000702092,0.00107473,0.00179141,0,1,0,0,0,0.044466,0.907568,0.0479659
219022165,-36866.5,-6071.68,1500,0.000621594,0.99017,0.000636083,1,0,0,0,0,0.0500585,0.89911,0.0508315
244150372,-37464.9,-7954.09,1500,0.0364804,0.0372965,0.0380356,0,1,0,0,0,0.0449352,0.934485,0.0205794
