mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision
210445000,11504.3,9421.59,600,0.978856,0.985449,1.86498e-05,0,1,0,0,0,0.0515812,0.947124,0.00129481,0.993466
219829000,16194.9,10080.7,600,0.980128,0.98986,8.81324e-06,1,0,0,0,0,0.0331857,0.916224,0.0505904,0.994386
210445000,11777.1,9326.92,660,0.978516,0.985989,2.38155e-05,0,1,0,0,0,0.0520495,0.946994,0.000956916,0.999386
219829000,16146.4,9946.41,660,0.980337,0.989236,2.26149e-05,1,0,0,0,0,0.0338691,0.917093,0.049038,0.99999
210445000,12038.2,9211.61,720,0.812047,0.831436,0.831436,0,1,0,0,0,0.0541497,0.94585,0,1
219829000,16079.9,9813.88,720,0.980204,0.989835,1.31563e-05,1,0,0,0,0,0.0162107,0.932091,0.0516979,0.999788
210445000,12299.3,9096.31,780,0.854166,0.857158,0.869415,0,1,0,0,0,0.0761598,0.877127,0.0467131,1
219829000,16011.7,9678.49,780,0.979872,0.989286,1.69372e-05,1,0,0,0,0,0.0152947,0.933322,0.0513837,0.999649
210445000,12560.4,8981.09,840,0.813766,0.81875,0.828944,0,1,0,0,0,0.0385213,0.941336,0.0201429,1
219829000,15944.4,9545.71,840,0.98001,0.988815,1.94611e-05,1,0,0,0,0,0.0151715,0.932674,0.0521549,0.998762
210445000,12821.4,8865.82,900,0.731715,0.748846,0.749023,0,1,0,0,0,0.0786819,0.840122,0.0811966,1
219829000,15877.8,9413.05,900,0.980156,0.989454,8.37779e-06,1,0,0,0,0,0.0149024,0.933245,0.0518526,0.997949
210445000,13082.6,8750.56,960,0.808907,0.81504,0.82543,0,1,0,0,0,0.0336342,0.892236,0.07413,0.999997
219829000,15809.7,9278.71,960,0.979366,0.98983,1.08508e-05,1,0,0,0,0,0.0147348,0.932758,0.0525076,0.996554
210445000,13343.7,8635.38,1020,0.842246,0.857188,0.857338,0,1,0,0,0,0.051426,0.884438,0.0641362,0.999994
219829000,15745.7,9146.99,1020,0.979695,0.990416,1.55558e-05,1,0,0,0,0,0.0160021,0.931956,0.052042,0.994041
210445000,13603.8,8518.96,1080,0.931737,0.934556,0.947466,0,1,0,0,0,0.0613802,0.9034,0.0352198,0.999981
219829000,15684.1,9014.24,1080,0.979526,0.989705,8.04156e-06,1,0,0,0,0,0.0164202,0.931738,0.0518417,0.991224
210445000,13844.8,8352.53,1140,0.575185,0.586376,0.586488,0,1,0,0,0,0.0196148,0.950682,0.0297028,0.999971
219829000,15620.6,8879.58,1140,0.980167,0.989697,0,1,0,0,0,0,0.0129303,0.935023,0.0520468,0.985869
210445000,14068.2,8172.64,1200,0.97961,0.999784,1,0,1,0,0,0,0.0575188,0.941475,0.00100584,0.999845
219829000,15557.2,8751.25,1200,0.979835,0.990478,1.19374e-05,1,0,0,0,0,0.0145098,0.933635,0.0518548,0.979631
210445000,14291.6,7992.84,1260,0.973723,0.999743,1,0,1,0,0,0,0.0409922,0.897022,0.0619857,0.9997
219829000,15497.7,8616.88,1260,0.980149,0.989958,6.91493e-06,1,0,0,0,0,0.01328,0.934553,0.0521673,0.968674
210445000,14515,7813,1320,0.982536,0.999824,1,0,1,0,0,0,0.0435925,0.955558,0.00084987,0.999767
219829000,15438.3,8482.56,1320,0.979998,0.990393,6.00266e-06,1,0,0,0,0,0.0113011,0.937034,0.0516646,0.969838
210445000,14732.5,7615.03,1380,0.972759,0.999726,1,0,1,0,0,0,0.00135243,0.997318,0.00132996,0.999652
219829000,15377.6,8349.31,1380,0.98008,0.990326,1.5393e-05,1,0,0,0,0,0.020592,0.927117,0.0522907,0.969165
210445000,14937.3,7408.91,1440,0.950734,0.999523,1,0,1,0,0,0,0.00250421,0.995006,0.00248938,0.999332
219829000,15318.2,8211.99,1440,0.980327,0.989717,9.98242e-06,1,0,0,0,0,0.0176361,0.930088,0.0522759,0.970468
210445000,15148.3,7206.22,1500,0.974755,0.999742,1,0,1,0,0,0,0.00124989,0.997478,0.00127216,0.999253
219829000,15252.9,8078.75,1500,0.980163,0.988646,1.0535e-05,1,0,0,0,0,0.0200213,0.927869,0.0521092,0.970089
210445000,15345,7007.86,1560,0.986715,0.99987,1,0,1,0,0,0,0.000655164,0.867926,0.131418,0.999602
219829000,15195.6,7943.39,1560,0.98034,0.990586,1.49516e-05,1,0,0,0,0,0.0208781,0.927817,0.0513046,0.971054
210445000,15580.8,6859.04,1620,0.961332,0.999609,1,0,1,0,0,0,0.00190502,0.996221,0.00187432,0.998844
219829000,15130.8,7802.91,1620,0.980145,0.990202,5.75114e-06,1,0,0,0,0,0.0108101,0.936908,0.0522822,0.969785
210445000,15835.3,6733.13,1680,0.983197,0.999829,1,0,1,0,0,0,0.109436,0.889742,0.000821513,0.781912
219829000,15072.2,7667.67,1680,0.980305,0.987701,1.90072e-05,1,0,0,0,0,0.0120334,0.934659,0.0533073,0.936773
210445000,16122.3,6654.13,1740,0.980989,0.999815,1,0,1,0,0,0,0.000959061,0.998118,0.000923381,0.998436
219829000,15006.3,7531.36,1740,0.977058,0.989686,4.28473e-06,1,0,0,0,0,0.017468,0.930268,0.0522644,0.919273
210445000,16399.1,6700.25,1800,0.98099,0.999809,1,0,1,0,0,0,0.000964769,0.998114,0.00092101,0.75263
