mmsi,times,x,y,sog,cog
219022165,2018-08-09 19:12:00,-35428.2935170869,-12596.4555377208,NaN,NaN
219022165,2018-08-09 19:13:00,-35449.0476078533,-12510.2194548666,9.4,99.9
219022165,2018-08-09 19:14:00,-35496.245430139,-12220.7390487818,9.4,99.9
219022165,2018-08-09 19:15:00,-35549.9738195248,-11937.9235415731,9.4,100.2
219022165,2018-08-09 19:16:00,-35607.0424278943,-11648.4575636996,9.4,100
219022165,2018-08-09 19:17:00,-35652.6169475551,-11360.2220555843,9.4,98.9
219022165,2018-08-09 19:18:00,-35708.0665512599,-11077.873324448,9.4,100.1
219022165,2018-08-09 19:19:00,-35756.3826718461,-10790.5389957446,9.4,100.8
219022165,2018-08-09 19:20:00,-35833.845518268,-10507.0825998996,9.5,111.7
219022165,2018-08-09 19:21:00,-35958.2355095808,-10242.8447498926,9.4,120
219022165,2018-08-09 19:22:00,-36115.9777882651,-9994.70043813462,9.4,123.1
219022165,2018-08-09 19:23:00,-36269.455512758,-9754.02760167168,9.5,124.4
219022165,2018-08-09 19:24:00,-36434.3963943804,-9510.27830133244,9.4,123.5
219022165,2018-08-09 19:25:00,-36602.2205902797,-9265.42712686687,9.3,122
219022165,2018-08-09 19:26:00,-36765.6772317976,-9025.02313986039,9.4,123.8
219022165,2018-08-09 19:27:00,-36919.9767816501,-8789.90439461968,9.4,123.6
219022165,2018-08-09 19:28:00,-37084.627304768,-8550.97804585116,9.4,123.9
219022165,2018-08-09 19:29:00,-37081.8309579975,-8285.13582847247,9.2,70.9
219022165,2018-08-09 19:30:00,-36958.2951217494,-8022.74969708015,9.4,63.7
219022165,2018-08-09 19:31:00,-36826.708402347,-7768.89411823046,9.3,61.8
219022165,2018-08-09 19:32:00,-36743.6878219887,-7499.5355706511,9.2,83.5
219022165,2018-08-09 19:33:00,-36721.9278385238,-7213.35682159089,9.3,91.8
219022165,2018-08-09 19:34:00,-36739.1278158371,-6925.12925905738,9.3,98.2
219022165,2018-08-09 19:35:00,-36778.5773190928,-6638.44752950005,9.3,98.8
219022165,2018-08-09 19:36:00,-36821.3406331425,-6356.30266593494,9.4,97.2
219022165,2018-08-09 19:37:00,-36866.5381780752,-6071.67522138457,9.4,99.2
219022165,2018-08-09 19:38:00,-36902.370202847,-5780.9787319902,9.4,98.5
219022165,2018-08-09 19:39:00,-36947.3046867529,-5496.70211657894,9.3,97.7
219022165,2018-08-09 19:40:00,-36981.072352939,-5221.11698849756,9.1,97.8
219022165,2018-08-09 19:41:00,-37024.7442953295,-4935.85943481699,9.2,98.8
219022165,2018-08-09 19:42:00,-37064.267516425,-4658.15363451896,9.2,97.4
219022165,2018-08-09 19:43:00,-37101.5412035288,-4383.76765754434,9.1,97.2
219022165,2018-08-09 19:44:00,-37138.2476207924,-4101.51111669707,9.1,98.1
219022165,2018-08-09 19:45:00,-37180.050218408,-3826.81694438344,9.2,98.2
219022165,2018-08-09 19:46:00,-37216.7220823787,-3540.25448412559,9.2,98.1
219022165,2018-08-09 19:47:00,-37258.4895151106,-3262.5848109232,9.3,99.3
219022165,2018-08-09 19:48:00,-37304.364680869,-2976.44209626815,9.2,98.6
219022165,2018-08-09 19:49:00,-37342.8686364259,-2692.52686339961,9.3,99.3
219022165,2018-08-09 19:50:00,-37382.6897329986,-2407.88107063765,9.4,100
219022165,2018-08-09 19:51:00,-37437.6350669614,-2125.41576044217,9.4,100.1
219022165,2018-08-09 19:52:00,-37482.987521115,-1834.95192286921,9.3,100.3
219022165,2018-08-09 19:53:00,-37527.7590369165,-1554.04147784514,9.4,100.5
219022165,2018-08-09 19:54:00,-37573.1821860469,-1264.47266493612,9.3,99.3
219022165,2018-08-09 19:55:00,-37623.5947148156,-981.009933808268,9.3,99.3
219022165,2018-08-09 19:56:00,-37672.9858829958,-694.938251726187,9.4,99.1
219022165,2018-08-09 19:57:00,-37717.3457247458,-410.613988035111,9.3,100.6
219022165,2018-08-09 19:58:00,-37768.3674439262,-129.490833747161,9.3,99.6
244150372,2018-08-09 19:12:00,-35812.4194484899,-4690.30701468316,NaN,NaN
244150372,2018-08-09 19:13:00,-35812.4194484899,-4690.30701468316,NaN,NaN
244150372,2018-08-09 19:14:00,-35763.9893108599,-4776.49698213773,6.2,300.4
244150372,2018-08-09 19:15:00,-35664.4574048453,-4943.48501558886,6.3,300.6
244150372,2018-08-09 19:16:00,-35571.1596590577,-5106.66263251869,6.2,300.4
244150372,2018-08-09 19:17:00,-35474.8471832971,-5270.97806556804,6.1,297
244150372,2018-08-09 19:18:00,-35442.0880129027,-5456.052301479,6.4,263.3
244150372,2018-08-09 19:19:00,-35561.5956056788,-5609.03698259842,6.7,208.7
244150372,2018-08-09 19:20:00,-35728.4279886755,-5680.69070596106,5.6,217.6
244150372,2018-08-09 19:21:00,-35855.532606852,-5810.47825824207,5.9,225.9
244150372,2018-08-09 19:22:00,-35990.7612272767,-5941.13228300746,5.9,223.7
244150372,2018-08-09 19:23:00,-36100.1332327718,-6083.00708143843,6.1,233.2
244150372,2018-08-09 19:24:00,-36213.6059075258,-6234.63401021711,6.1,233.5
244150372,2018-08-09 19:25:00,-36326.6277947185,-6386.08712099039,6,232.3
244150372,2018-08-09 19:26:00,-36445.7726775292,-6535.19911254939,6,231.8
244150372,2018-08-09 19:27:00,-36557.4565380371,-6680.85957850973,6.1,232.7
244150372,2018-08-09 19:28:00,-36653.1877586827,-6840.2335599409,6.1,238.2
244150372,2018-08-09 19:29:00,-36756.9348827588,-6997.20874761071,6.1,237.4
244150372,2018-08-09 19:30:00,-36862.7903674748,-7155.0424463186,6.1,236.9
244150372,2018-08-09 19:31:00,-36964.5198436618,-7312.63494435264,6.1,236.6
