mmsi,times,x,y,sog,cog
236555000,2018-01-02 01:05:00,50545.6729037908,89535.7932579805,NaN,NaN
236555000,2018-01-02 01:06:00,50518.7161612513,89550.908338562,8.1,158.5
236555000,2018-01-02 01:07:00,50273.7503257632,89641.156495642,8,164.1
236555000,2018-01-02 01:08:00,50036.4988121057,89727.5691536768,8.1,162.8
236555000,2018-01-02 01:09:00,49799.8987227414,89813.1473302758,8.4,160.1
236555000,2018-01-02 01:10:00,49559.0929709114,89904.872579162,8.4,156.8
236555000,2018-01-02 01:11:00,49322.2156138488,89992.8463020141,8.2,160.8
236555000,2018-01-02 01:12:00,49080.4967307343,90088.4047089606,7.9,162.1
236555000,2018-01-02 01:13:00,48852.5004829065,90174.8355003107,8.3,158.5
236555000,2018-01-02 01:14:00,48616.5240585883,90267.9740862978,8,165.3
236555000,2018-01-02 01:15:00,48379.7069202098,90363.2754682394,8.4,156.4
236555000,2018-01-02 01:16:00,48148.6876451928,90448.7957526122,8,160.8
236555000,2018-01-02 01:17:00,47908.1936552345,90553.8027652324,8.4,151.6
236555000,2018-01-02 01:18:00,47709.207683929,90701.2125401417,7.9,130.9
236555000,2018-01-02 01:19:00,47589.241690966,90909.2042765611,7.6,110.4
236555000,2018-01-02 01:20:00,47506.8551415862,91133.1298403339,7.9,108.2
236555000,2018-01-02 01:21:00,47440.3933857051,91370.9882192412,8.2,104.8
236555000,2018-01-02 01:22:00,47367.6372448144,91625.360286092,8.4,110.4
236555000,2018-01-02 01:23:00,47294.3228781346,91878.9842321774,8.6,108
236555000,2018-01-02 01:24:00,47220.368635576,92133.1662211794,8.7,113.4
236555000,2018-01-02 01:25:00,47125.2047605457,92394.4869529625,8.9,114.1
236555000,2018-01-02 01:26:00,47010.2440490076,92641.9902625981,8.9,118.2
236555000,2018-01-02 01:27:00,46872.2545666461,92890.2197592755,9,123
236555000,2018-01-02 01:28:00,46716.6345427594,93117.2943999831,8.9,126.7
236555000,2018-01-02 01:29:00,46561.027331719,93344.3864971958,8.8,130.3
236555000,2018-01-02 01:30:00,46405.5442780873,93571.4934502787,8.7,134
236555000,2018-01-02 01:31:00,46249.9613165673,93798.5611839806,8.6,137.7
236555000,2018-01-02 01:32:00,46094.3925499473,94025.7056335856,8.5,141.3
236555000,2018-01-02 01:33:00,45901.7355757366,94205.1107432361,8.3,142
236555000,2018-01-02 01:34:00,45703.1374438565,94368.3633692463,8,146
236555000,2018-01-02 01:35:00,45498.697753939,94519.788981602,8.2,147.8
236555000,2018-01-02 01:36:00,45296.3312592892,94645.4389053816,8,149.1
236555000,2018-01-02 01:37:00,45072.7180730746,94753.3337721116,7.9,154.6
236555000,2018-01-02 01:38:00,44852.4061605572,94859.3823903717,7.9,156.8
236555000,2018-01-02 01:39:00,44629.7569552449,94946.5140783929,7.8,162
236555000,2018-01-02 01:40:00,44408.8334875091,95017.0025761502,7.7,165.1
236555000,2018-01-02 01:41:00,44187.4973254609,95093.5595782774,7.6,162.7
236555000,2018-01-02 01:42:00,43952.3604342835,95170.6297672439,7.7,163.1
236555000,2018-01-02 01:43:00,43738.6980055495,95251.2333170256,7.6,160.5
236555000,2018-01-02 01:44:00,43513.9689753328,95334.8967499577,7.8,159.4
236555000,2018-01-02 01:45:00,43293.3163923673,95416.572987508,7.7,162.3
246878000,2018-01-02 01:05:00,42235.0739932425,84367.8854678629,NaN,NaN
246878000,2018-01-02 01:06:00,42262.6925083684,84415.3803606856,13.5,60.3
246878000,2018-01-02 01:07:00,42469.7972866916,84771.7503061267,13.4,59.7
246878000,2018-01-02 01:08:00,42678.7464823509,85129.528575591,13.4,60.6
246878000,2018-01-02 01:09:00,42897.9645566784,85491.9769184524,13.4,59.4
246878000,2018-01-02 01:10:00,43103.7475060748,85844.4670536579,13.4,60.3
246878000,2018-01-02 01:11:00,43312.4252383534,86205.8193958283,13.5,61.4
246878000,2018-01-02 01:12:00,43526.3738036899,86567.2583641917,13.5,61
