mmsi,times,x,y,sog,cog
219012521,2018-01-09 03:55:00,16577.265035201,6448.87074385648,NaN,NaN
219012521,2018-01-09 03:56:00,16577.265035201,6448.87074385648,NaN,NaN
219012521,2018-01-09 03:57:00,16577.3794177526,6520.14764998922,3.1,85.5
219012521,2018-01-09 03:58:00,16588.6702749295,6614.62934243613,3.2,86.9
219012521,2018-01-09 03:59:00,16588.8215260569,6706.38990901752,3,87.4
219012521,2018-01-09 04:00:00,16596.4402370563,6800.16246020291,3,85.8
219012521,2018-01-09 04:01:00,16600.2697810034,6891.20201692099,3,84.3
219012521,2018-01-09 04:02:00,16611.5573788707,6978.77483255058,3,83.4
219012521,2018-01-09 04:03:00,16622.5308889805,7076.70868209929,3.3,82.2
219012521,2018-01-09 04:04:00,16631.3785392424,7167.79803414239,3,84.7
219012521,2018-01-09 04:05:00,16634.3297713651,7261.27942763774,3.2,88
219012521,2018-01-09 04:06:00,16634.5006923579,7355.77803529217,3.2,84.9
219012521,2018-01-09 04:07:00,16645.8137238095,7451.68515492162,2.9,87
219012521,2018-01-09 04:08:00,16645.9813156759,7542.0153218194,3.1,89.4
219012521,2018-01-09 04:09:00,16654.2857420166,7634.77145194739,2.9,85.7
219012521,2018-01-09 04:10:00,16668.6031182859,7725.78887900128,2.8,80.2
219012521,2018-01-09 04:11:00,16688.0505250882,7819.296609627,3.2,79.2
219012521,2018-01-09 04:12:00,16702.3724079729,7910.49125735197,3,80.1
219012521,2018-01-09 04:13:00,16724.8207746392,7998.75147209474,3,79.1
219012521,2018-01-09 04:14:00,16747.28501887,8093.97732630927,2.9,79.8
219012521,2018-01-09 04:15:00,16758.5901268406,8177.31601313408,3,78.5
219012521,2018-01-09 04:16:00,16781.0496831818,8268.19342178161,2.9,79
219012521,2018-01-09 04:17:00,16800.7224112695,8356.87250022933,3,80
219012521,2018-01-09 04:18:00,16814.8409050795,8451.5166506467,2.8,77.3
219012521,2018-01-09 04:19:00,16837.3013433449,8539.89048926522,2.9,83
219012521,2018-01-09 04:20:00,16848.6264537977,8628.28716832365,3,80.2
219012521,2018-01-09 04:21:00,16871.0849796449,8713.97989965582,3,77.8
219012521,2018-01-09 04:22:00,16882.4136396729,8802.2562703952,3.3,77.5
219012521,2018-01-09 04:23:00,16914.909477767,8892.50991125995,2.8,71.2
219012521,2018-01-09 04:24:00,16930.6859612507,8975.83300061221,2.8,74.2
219012521,2018-01-09 04:25:00,16953.7200761911,9066.58176927817,3,78.2
219012521,2018-01-09 04:26:00,16972.2870268752,9151.02833209434,2.8,81.1
219012521,2018-01-09 04:27:00,16983.6406274469,9246.02932042781,3,85
219012521,2018-01-09 04:28:00,16991.6310711453,9330.55844996774,3,84.3
219012521,2018-01-09 04:29:00,16995.1780943776,9419.26545152109,2.7,85.4
219012521,2018-01-09 04:30:00,16995.3910727607,9510.18315861497,3,87.5
219012521,2018-01-09 04:31:00,16995.6010041234,9598.95741619525,2.9,90.6
219012521,2018-01-09 04:32:00,17006.9584238215,9691.15823264417,2.9,91.9
219012521,2018-01-09 04:33:00,16996.0359406941,9780.31647613344,3,90.6
219012521,2018-01-09 04:34:00,16996.2583527923,9871.77001658926,2.9,90.2
219012521,2018-01-09 04:35:00,16996.4722660954,9958.93666573352,2.9,84.9
219012521,2018-01-09 04:36:00,17006.6076189791,10049.0556162341,2.7,86.7
219012521,2018-01-09 04:37:00,17008.0618095667,10140.7439905018,2.8,89.1
219012521,2018-01-09 04:38:00,17008.2857462449,10229.5774953669,2.7,91.5
219012521,2018-01-09 04:39:00,17002.5071012698,10322.1773960627,2.9,90.8
