mmsi,times,x,y,sog,cog
246900000,2018-01-12 03:57:00,3171.92675408375,8540.42321607837,NaN,NaN
246900000,2018-01-12 03:58:00,3171.92675408375,8540.42321607837,NaN,NaN
246900000,2018-01-12 03:59:00,3171.92675408375,8540.42321607837,NaN,NaN
246900000,2018-01-12 04:00:00,3171.92675408375,8540.42321607837,NaN,NaN
246900000,2018-01-12 04:01:00,3171.92675408375,8540.42321607837,NaN,NaN
246900000,2018-01-12 04:02:00,3171.92675408375,8540.42321607837,NaN,NaN
246900000,2018-01-12 04:03:00,3171.92675408375,8540.42321607837,NaN,NaN
246900000,2018-01-12 04:04:00,3171.92675408375,8540.42321607837,NaN,NaN
246900000,2018-01-12 04:05:00,3171.92675408375,8540.42321607837,NaN,NaN
246900000,2018-01-12 04:06:00,3171.92675408375,8540.42321607837,NaN,NaN
246900000,2018-01-12 04:07:00,3171.92675408375,8540.42321607837,NaN,NaN
246900000,2018-01-12 04:08:00,3171.92675408375,8540.42321607837,NaN,NaN
246900000,2018-01-12 04:09:00,3171.92675408375,8540.42321607837,NaN,NaN
246900000,2018-01-12 04:10:00,3171.92675408375,8540.42321607837,NaN,NaN
246900000,2018-01-12 04:11:00,3171.92675408375,8540.42321607837,NaN,NaN
246900000,2018-01-12 04:12:00,3171.92675408375,8540.42321607837,NaN,NaN
246900000,2018-01-12 04:13:00,3171.92675408375,8540.42321607837,NaN,NaN
246900000,2018-01-12 04:14:00,3171.92675408375,8540.42321607837,NaN,NaN
246900000,2018-01-12 04:15:00,3188.48682249191,8576.95166479032,9.7,66.2
246900000,2018-01-12 04:16:00,3312.80973022146,8851.14424161993,9.7,66
246900000,2018-01-12 04:17:00,3437.15106770811,9125.26025950966,9.7,65.9
246900000,2018-01-12 04:18:00,3561.51095959335,9399.3594601487,9.7,65.8
246900000,2018-01-12 04:19:00,3686.00091749697,9673.50131201332,9.7,65.7
246900000,2018-01-12 04:20:00,3806.39149931086,9948.77139797631,9.9,65.6
246900000,2018-01-12 04:21:00,3931.36292829813,10222.4008254465,9.8,66
246900000,2018-01-12 04:22:00,4055.58764077997,10501.5703758067,9.9,65.7
246900000,2018-01-12 04:23:00,4180.27978411477,10781.7370224299,9.9,65.6
246900000,2018-01-12 04:24:00,4304.08649310174,11056.8120435692,9.9,65.6
246900000,2018-01-12 04:25:00,4427.02944096238,11334.9187482944,9.9,65.7
246900000,2018-01-12 04:26:00,4549.9914905859,11613.0085795958,9.9,65.7
246900000,2018-01-12 04:27:00,4672.97264019111,11891.0815353272,9.9,65.8
246900000,2018-01-12 04:28:00,4795.97288799713,12169.1376133425,9.9,65.9
246900000,2018-01-12 04:29:00,4918.99241564738,12447.2365296847,9.9,65.9
246900000,2018-01-12 04:30:00,5042.03085860251,12725.2588440105,9.9,66
246900000,2018-01-12 04:31:00,5165.08839440994,13003.2642741826,9.9,66
246900000,2018-01-12 04:32:00,5288.27639206336,13281.2524528321,9.9,66.1
246900000,2018-01-12 04:33:00,5411.37210821905,13559.224100601,9.9,66.1
246900000,2018-01-12 04:34:00,5534.48691187754,13837.1788577806,9.9,66.2
246900000,2018-01-12 04:35:00,5657.96385852138,14117.6829698595,9.9,66.5
246900000,2018-01-12 04:36:00,5781.46024288543,14398.1699840045,9.9,66.8
246900000,2018-01-12 04:37:00,5873.34958823372,14679.5307118258,9.6,76.8
246900000,2018-01-12 04:38:00,5964.81322032236,14960.9400417145,9.3,87
246900000,2018-01-12 04:39:00,6029.88897709571,15239.0927489947,9,95.9
246900000,2018-01-12 04:40:00,5945.67493215625,15498.9423504537,9.1,97.6
246900000,2018-01-12 04:41:00,5861.47756340101,15758.8027817087,9.1,99.3
246900000,2018-01-12 04:42:00,5777.29687188653,16018.6740411189,9.1,100.9
246900000,2018-01-12 04:43:00,5693.13285867317,16278.5561270448,9.2,102.6
246900000,2018-01-12 04:44:00,5608.9855248195,16538.4490378452,9.2,104.3
246900000,2018-01-12 04:45:00,5524.85487137936,16798.3527718798,9.3,106
246900000,2018-01-12 04:46:00,5469.86239038662,17070.9228226513,9.3,104.1
246900000,2018-01-12 04:47:00,5446.01938950716,17357.1006158912,9.4,98.5
246900000,2018-01-12 04:48:00,5422.19660176332,17643.2818277057,9.4,92.8
246900000,2018-01-12 04:49:00,5398.39376330592,17929.4067450802,9.4,87.1
246900000,2018-01-12 04:50:00,5374.61139871062,18215.594787654,9.5,81.4
246900000,2018-01-12 04:51:00,5374.88804106561,18497.9145299677,9.5,76
246900000,2018-01-12 04:52:00,5511.40356345075,18758.4650485496,9.6,72
246900000,2018-01-12 04:53:00,5647.93558249631,19018.9382887064,9.6,68
246900000,2018-01-12 04:54:00,5784.48465313936,19279.4536651724,9.7,64
246900000,2018-01-12 04:55:00,5922.83299574699,19540.0622740845,9.7,60.4
246900000,2018-01-12 04:56:00,6075.46050746309,19802.016176845,9.7,60.4
