mmsi,times,x,y,sog,cog
235068085,2018-01-17 06:26:00,-2291.87461773228,4347.37278272269,NaN,NaN
235068085,2018-01-17 06:27:00,-2291.87461773228,4347.37278272269,NaN,NaN
235068085,2018-01-17 06:28:00,-2291.87461773228,4347.37278272269,NaN,NaN
235068085,2018-01-17 06:29:00,-2291.87461773228,4347.37278272269,NaN,NaN
235068085,2018-01-17 06:30:00,-2291.87461773228,4347.37278272269,NaN,NaN
235068085,2018-01-17 06:31:00,-2291.87461773228,4347.37278272269,NaN,NaN
235068085,2018-01-17 06:32:00,-2291.87461773228,4347.37278272269,NaN,NaN
235068085,2018-01-17 06:33:00,-2291.87461773228,4347.37278272269,NaN,NaN
235068085,2018-01-17 06:34:00,-2291.87461773228,4347.37278272269,NaN,NaN
235068085,2018-01-17 06:35:00,-2291.87461773228,4347.37278272269,NaN,NaN
235068085,2018-01-17 06:36:00,-2045.09526735347,4539.48145678153,19.2,38
235068085,2018-01-17 06:37:00,-1591.85855349042,4895.42786984832,19.1,37.8
235068085,2018-01-17 06:38:00,-1111.17668908916,5264.51331155502,19.2,37
235068085,2018-01-17 06:39:00,-645.720877715103,5631.85362484431,19.3,37.7
235068085,2018-01-17 06:40:00,-165.848286347213,6010.48057459985,19.3,38
235068085,2018-01-17 06:41:00,251.621273500229,6414.11577240971,19.2,47.3
235068085,2018-01-17 06:42:00,559.697801407017,6908.97034961734,19.1,58.7
235068085,2018-01-17 06:43:00,817.341023690759,7441.06640779304,19.3,65.1
235068085,2018-01-17 06:44:00,1069.09602692214,8001.69783370966,19.5,66
235068085,2018-01-17 06:45:00,1316.19295934872,8587.68262271975,19.6,66
235068085,2018-01-17 06:46:00,1543.40439740369,9108.49483422207,19.7,67.3
235068085,2018-01-17 06:47:00,1763.63656696505,9663.72484727964,19.6,68
235068085,2018-01-17 06:48:00,1990.75542293364,10270.054372163,19.7,70
235068085,2018-01-17 06:49:00,2218.15007296084,10903.999989874,19.5,69.6
235068085,2018-01-17 06:50:00,2413.75866335928,11447.2468333638,19.4,69.7
235068085,2018-01-17 06:51:00,2594.58713666818,11938.7768542119,19.4,70
235068085,2018-01-17 06:52:00,2825.96659793706,12588.5806825176,19.1,70
235068085,2018-01-17 06:53:00,3028.19495132362,13146.1433153094,19.1,70
235068085,2018-01-17 06:54:00,3221.07796027028,13650.6637820566,19.1,68.2
235068085,2018-01-17 06:55:00,3447.01383741422,14257.9378906979,19,69.1
235068085,2018-01-17 06:56:00,3635.1141202913,14756.7408820981,19.1,69
235068085,2018-01-17 06:57:00,3839.85193386271,15310.0634930957,19.1,69
235068085,2018-01-17 06:58:00,4090.98260411253,15917.1754151889,19,66.9
235068085,2018-01-17 06:59:00,4282.41972707423,16364.24271954,19.1,65
235068085,2018-01-17 07:00:00,4527.65999857929,16882.792766402,19.1,63.2
235068085,2018-01-17 07:01:00,4836.13144751304,17509.2811705768,19.1,64
235068085,2018-01-17 07:02:00,5044.53017978864,17949.2910457414,19.1,64
235068085,2018-01-17 07:03:00,5305.01139017788,18492.9681667798,19.1,63.7
235068085,2018-01-17 07:04:00,5595.38458658211,19078.1079487443,19.4,64
235068085,2018-01-17 07:05:00,5830.82713977914,19571.2901965921,19.2,64
235068085,2018-01-17 07:06:00,6112.19576164425,20173.204901682,19.1,65
311816000,2018-01-17 06:26:00,128.156013372598,6784.28063700032,NaN,NaN
311816000,2018-01-17 06:27:00,226.350479119492,6962.71300317928,10.3,59.9
311816000,2018-01-17 06:28:00,385.070287284155,7229.27603943949,10.3,59.2
311816000,2018-01-17 06:29:00,549.850535749237,7511.57320177547,10.4,59.2
311816000,2018-01-17 06:30:00,715.742752723184,7782.69574696192,10.3,59.4
311816000,2018-01-17 06:31:00,885.011318243336,8062.48113723222,10.4,59.5
311816000,2018-01-17 06:32:00,1053.3998475496,8338.16920902957,10.4,59.1
311816000,2018-01-17 06:33:00,1209.11687734292,8616.61842815551,10.4,60.1
311816000,2018-01-17 06:34:00,1363.49653339762,8885.87925088202,10.3,60.3
311816000,2018-01-17 06:35:00,1522.4822593836,9164.93828289691,10.3,60.1
311816000,2018-01-17 06:36:00,1678.68930717102,9438.10882346409,10.2,60.5
311816000,2018-01-17 06:37:00,1833.58415227488,9713.71861752297,10.1,61.1
311816000,2018-01-17 06:38:00,1982.1364368156,9983.9297052376,10,60
311816000,2018-01-17 06:39:00,2137.81678385685,10247.152004396,9.9,59.4
311816000,2018-01-17 06:40:00,2292.966468226,10513.8909329709,9.8,60.4
311816000,2018-01-17 06:41:00,2447.33694750448,10774.1403574969,9.7,60.1
311816000,2018-01-17 06:42:00,2591.2296158277,11024.8716742706,9.6,60
311816000,2018-01-17 06:43:00,2746.96044632993,11281.9034553932,9.5,59.3
311816000,2018-01-17 06:44:00,2904.13784379766,11532.7405099049,9.5,58.7
311816000,2018-01-17 06:45:00,3055.20440727427,11783.2164512284,9.5,58.5
311816000,2018-01-17 06:46:00,3206.28641515547,12033.6737803361,9.4,58.3
311816000,2018-01-17 06:47:00,3359.60925280863,12283.4468121126,9.4,58
311816000,2018-01-17 06:48:00,3519.06646283702,12531.1454329802,9.5,56.8
311816000,2018-01-17 06:49:00,3685.21150698862,12775.8086028723,9.4,56.2
311816000,2018-01-17 06:50:00,3856.38040193591,13019.6570481595,9.4,55.9
311816000,2018-01-17 06:51:00,4016.31882015415,13264.4799524307,9.5,56.2
311816000,2018-01-17 06:52:00,4183.49109371321,13503.2702268597,9.5,56.3
311816000,2018-01-17 06:53:00,4340.22452795669,13746.7476997458,9.5,56.5
311816000,2018-01-17 06:54:00,4498.76373256152,13992.8952368937,9.5,56.4
311816000,2018-01-17 06:55:00,4662.22165244502,14240.0244659305,9.6,56.1
311816000,2018-01-17 06:56:00,4835.7122677161,14485.5411228282,9.7,56
311816000,2018-01-17 06:57:00,5007.32858785168,14732.1813949181,9.7,56
311816000,2018-01-17 06:58:00,5174.29233047164,14981.5125805894,9.7,55.9
311816000,2018-01-17 06:59:00,5341.27116583383,15230.7633853281,9.7,55.8
311816000,2018-01-17 07:00:00,5507.72510116453,15484.3665787538,9.7,56.4
311816000,2018-01-17 07:01:00,5671.94527049621,15732.2099722806,9.7,56.4
311816000,2018-01-17 07:02:00,5842.4485218155,15987.9713231084,9.8,56.7
311816000,2018-01-17 07:03:00,6007.39729945882,16243.1946459895,9.8,57.4
311816000,2018-01-17 07:04:00,6176.11346135189,16489.7016217035,9.8,57.1
311816000,2018-01-17 07:05:00,6344.21014585624,16744.3918379959,9.8,57.2
311816000,2018-01-17 07:06:00,6509.75207530869,16996.8568965059,9.8,56.5
