mmsi,times,x,y,sog,cog
211200040,2018-05-09 06:40:00,7548.57802805037,20651.2138104035,NaN,NaN
211200040,2018-05-09 06:41:00,7539.60226886112,20638.4399232814,2.6,236.6
211200040,2018-05-09 06:42:00,7510.39219140008,20545.762749851,3.6,249.4
211200040,2018-05-09 06:43:00,7469.61255671214,20455.3392331219,3.8,239
211200040,2018-05-09 06:44:00,7464.81151453678,20321.2849430555,4.8,267
211200040,2018-05-09 06:45:00,7453.0072585561,20166.8480418082,4.8,278.1
211200040,2018-05-09 06:46:00,7483.01314755424,20020.0364962577,4.7,296.2
211200040,2018-05-09 06:47:00,7537.85490286877,19871.9172352847,4.9,280
211200040,2018-05-09 06:48:00,7593.96744154284,19731.9862716409,4.9,297.6
211200040,2018-05-09 06:49:00,7672.85144391886,19601.4441393493,5,294.6
211200040,2018-05-09 06:50:00,7761.91585452558,19479.3446410029,4.8,307.2
211200040,2018-05-09 06:51:00,7863.35527105243,19382.1167005955,4.8,316.9
211200040,2018-05-09 06:52:00,7969.66675398578,19278.4609406238,4.6,319.1
211200040,2018-05-09 06:53:00,8075.23982840957,19182.8849652072,4.5,324.5
211200040,2018-05-09 06:54:00,8170.86315958264,19078.9940050267,4.5,311.9
211200040,2018-05-09 06:55:00,8243.75290241827,18971.8329736184,4,290.2
211200040,2018-05-09 06:56:00,8263.7121681279,18858.3970337572,3.8,262.1
211200040,2018-05-09 06:57:00,8274.25113428249,18730.4083468017,4.5,274.1
211200040,2018-05-09 06:58:00,8303.7460704749,18582.2160851964,4.8,285.2
211200040,2018-05-09 06:59:00,8339.76282191522,18446.3388094929,4.6,278.6
211200040,2018-05-09 07:00:00,8358.87530770353,18314.9322406119,4.7,297.8
211200040,2018-05-09 07:01:00,8387.05766651569,18168.6510571159,4.7,284.9
211200040,2018-05-09 07:02:00,8445.19464036544,18019.9232893289,5.2,296.2
211200040,2018-05-09 07:03:00,8505.81771610282,17878.012601079,5.2,296.9
211200040,2018-05-09 07:04:00,8603.24124510675,17745.4373919039,5,305
211200040,2018-05-09 07:05:00,8699.91295463871,17618.2120340331,5.4,304.2
211200040,2018-05-09 07:06:00,8795.32381534504,17481.8609966491,5,299.1
211200040,2018-05-09 07:07:00,8882.20448688564,17355.0464092144,5.1,300.9
211200040,2018-05-09 07:08:00,8928.18042473412,17220.4031913853,3.9,275.3
211200040,2018-05-09 07:09:00,8970.39029901379,17089.5762688299,4.4,285.3
211200040,2018-05-09 07:10:00,9071.55934497397,16967.4616824647,5.5,311.3
211200040,2018-05-09 07:11:00,9167.96537784049,16824.1339705099,5.1,300.2
211200040,2018-05-09 07:12:00,9245.00722718984,16683.2666975779,5.6,296.7
211200040,2018-05-09 07:13:00,9337.14922299797,16556.8179195799,4.7,311.5
211200040,2018-05-09 07:14:00,9434.1748245285,16425.2531287223,5.5,306.4
211200040,2018-05-09 07:15:00,9525.83254194189,16287.2503765962,5.4,305.5
211200040,2018-05-09 07:16:00,9619.61518303058,16150.2538413177,5.3,302.5
211200040,2018-05-09 07:17:00,9737.29748869744,16028.4133456012,6.2,309
211200040,2018-05-09 07:18:00,9844.02017895402,15894.3447131446,5.8,319.3
211200040,2018-05-09 07:19:00,9942.16731656245,15759.2492097888,5.6,297.4
211200040,2018-05-09 07:20:00,10005.288072186,15609.0527440542,5.4,297.4
211200040,2018-05-09 07:21:00,10077.9856005199,15456.9853964099,5.5,302.9
211200040,2018-05-09 07:22:00,10162.0199685707,15297.2289922843,5.6,295.4
211200040,2018-05-09 07:23:00,10241.6309759672,15144.1981976913,5.5,300.9
211200040,2018-05-09 07:24:00,10292.2657965864,14984.6982778486,5.1,297
211200040,2018-05-09 07:25:00,10332.4162662225,14819.4287634217,6,286.2
211200040,2018-05-09 07:26:00,10365.6388715289,14646.1217851396,5.9,276.5
211200040,2018-05-09 07:27:00,10395.074089243,14470.577631962,5.6,284.9
211200040,2018-05-09 07:28:00,10419.216819776,14307.9249763039,5.2,276.9
211200040,2018-05-09 07:29:00,10441.6938437664,14144.8057201897,5.9,279.5
211200040,2018-05-09 07:30:00,10449.0414467306,13984.8844034096,5,267.3
211200040,2018-05-09 07:31:00,10437.3788937218,13833.3324171323,4.6,260.1
211200040,2018-05-09 07:32:00,10419.9819144756,13696.8635698541,4.5,270.3
211200040,2018-05-09 07:33:00,10417.3426040932,13542.6103442422,5.4,281.8
211200040,2018-05-09 07:34:00,10468.4347861252,13367.5977344171,5.9,289.9
211200040,2018-05-09 07:35:00,10552.2029580386,13203.2759927866,5.3,293.9
211200040,2018-05-09 07:36:00,10648.7249095484,13054.3983759651,5.9,303.6
211200040,2018-05-09 07:37:00,10753.239579719,12895.598484641,6.4,302.4
211200040,2018-05-09 07:38:00,10856.1988455218,12736.0408893812,6.6,300.8
211200040,2018-05-09 07:39:00,10920.1538284589,12567.2441922738,6.1,286.8
211200040,2018-05-09 07:40:00,10973.1824734612,12392.438029993,5.8,287.4
211200040,2018-05-09 07:41:00,11022.0973089064,12217.471154522,5.8,286.7
211200040,2018-05-09 07:42:00,11086.500391154,12042.2841785874,5.8,290
211200040,2018-05-09 07:43:00,11152.4852755249,11872.1384921923,6.2,288.4
211200040,2018-05-09 07:44:00,11234.2838476736,11698.9281628754,6.6,301.7
211200040,2018-05-09 07:45:00,11335.5092241548,11539.603436121,6,304.4
211200040,2018-05-09 07:46:00,11420.9707173186,11396.222241135,NaN,NaN
212801000,2018-05-09 06:40:00,8733.18267391939,26966.0629905286,NaN,NaN
212801000,2018-05-09 06:41:00,8743.2059026371,26799.5012174526,10.8,273
212801000,2018-05-09 06:42:00,8763.244936367,26462.1083308859,10.7,273
212801000,2018-05-09 06:43:00,8772.2475542252,26135.9458468548,10.7,272.4
212801000,2018-05-09 06:44:00,8781.21262650112,25799.8171604567,10.7,271.8
212801000,2018-05-09 06:45:00,8801.39880574388,25472.4005234452,10.7,272.2
212801000,2018-05-09 06:46:00,8810.41197163485,25135.0893488116,10.7,271.5
212801000,2018-05-09 06:47:00,8819.47836544599,24801.8143364191,10.8,272
212801000,2018-05-09 06:48:00,8839.75202743033,24475.4147871917,10.7,273.4
212801000,2018-05-09 06:49:00,8848.84961688687,24138.2280613231,10.7,273.2
212801000,2018-05-09 06:50:00,8858.04723475334,23813.146474394,10.7,271.4
212801000,2018-05-09 06:51:00,8878.34816293332,23477.6777721544,10.7,272.7
212801000,2018-05-09 06:52:00,8887.59752321852,23152.3036311718,10.6,271.6
212801000,2018-05-09 06:53:00,8896.83042867396,22819.3961265481,10.6,272.5
212801000,2018-05-09 06:54:00,8916.27707934407,22495.5703049116,10.6,272.4
212801000,2018-05-09 06:55:00,8926.56546207481,22162.4240264294,10.6,271.5
212801000,2018-05-09 06:56:00,8935.9239296308,21837.5318469357,10.6,272.5
212801000,2018-05-09 06:57:00,8945.26102507946,21503.7418163525,10.6,271.5
212801000,2018-05-09 06:58:00,8954.65556138549,21175.5897394447,10.6,271.8
212801000,2018-05-09 06:59:00,8964.10831296687,20853.4908886619,10.6,272.2
212801000,2018-05-09 07:00:00,8973.53717328832,20521.6636314597,10.5,272
212801000,2018-05-09 07:01:00,8983.04563822465,20200.2206259997,10.5,272.2
212801000,2018-05-09 07:02:00,8992.54841532417,19872.4310156363,10.5,272.1
212801000,2018-05-09 07:03:00,8996.1615456562,19541.8833204158,10.4,271.8
212801000,2018-05-09 07:04:00,9005.20942390251,19224.1850805556,10.5,271.3
212801000,2018-05-09 07:05:00,9010.1370135439,18901.2868235406,10.5,271.3
