mmsi,times,x,y,sog,cog
309998000,2019-08-26 06:30:00,15879.0544113771,-22792.5138391012,NaN,NaN
309998000,2019-08-26 06:31:00,15921.0285645509,-22511.8204617989,11.1,80.3
309998000,2019-08-26 06:32:00,15973.8648337528,-22177.4722477476,11.1,80.4
309998000,2019-08-26 06:33:00,16029.6801138082,-21832.813743965,11.2,80.1
309998000,2019-08-26 06:34:00,16092.8161781198,-21497.9525764387,11.2,79.9
309998000,2019-08-26 06:35:00,16158.6011451574,-21153.2022857028,11.2,79.7
309998000,2019-08-26 06:36:00,16212.5273174591,-20814.063056212,11.2,79.7
309998000,2019-08-26 06:37:00,16265.3923805034,-20479.7026744285,11.2,79.9
309998000,2019-08-26 06:38:00,16330.2600986339,-20134.6316824154,11.2,80.1
309998000,2019-08-26 06:39:00,16384.7350397223,-19799.1510360456,11.2,79.9
309998000,2019-08-26 06:40:00,16439.5312294429,-19455.2220857878,11.2,80.3
309998000,2019-08-26 06:41:00,16492.8374922812,-19119.7656588838,11.2,80.3
309998000,2019-08-26 06:42:00,16559.0483722613,-18775.1474265636,11.1,80.8
309998000,2019-08-26 06:43:00,16603.0819671334,-18445.4692193723,11.1,81
309998000,2019-08-26 06:44:00,16656.127805982,-18107.7787496918,11,81.3
309998000,2019-08-26 06:45:00,16709.5187027789,-17766.1658464733,11,81.6
309998000,2019-08-26 06:46:00,16752.5075448468,-17433.4197172689,11,81.8
309998000,2019-08-26 06:47:00,16807.7228012005,-17088.3630161673,11,82.1
309998000,2019-08-26 06:48:00,16849.8705628032,-16754.2070403392,11,82.2
309998000,2019-08-26 06:49:00,16893.9216225178,-16415.703881063,11,82.2
309998000,2019-08-26 06:50:00,16938.2626533562,-16086.9719853822,11,82.1
309998000,2019-08-26 06:51:00,16980.4742023996,-15747.9551930761,11,81.9
309998000,2019-08-26 06:52:00,17033.8700286626,-15413.7852456463,11,81.8
309998000,2019-08-26 06:53:00,17078.0134006601,-15069.9539460848,11,81.9
309998000,2019-08-26 06:54:00,17121.439641971,-14735.2424159094,11,81.8
309998000,2019-08-26 06:55:00,17174.8267518428,-14406.3969590727,11,82
309998000,2019-08-26 06:56:00,17219.2976705987,-14068.0654879324,11,82.2
309998000,2019-08-26 06:57:00,17261.8067924846,-13734.0349568877,11.1,82.1
309998000,2019-08-26 06:58:00,17306.1825919625,-13383.6329886355,11.1,82.3
309998000,2019-08-26 06:59:00,17350.5477649418,-13055.0288797815,11.1,82.3
309998000,2019-08-26 07:00:00,17393.1063560685,-12710.125314388,11,82.2
309998000,2019-08-26 07:01:00,17435.6161996396,-12376.064527998,11,82.3
309998000,2019-08-26 07:02:00,17480.1275080484,-12031.6461256105,11,82.3
309998000,2019-08-26 07:03:00,17533.7319181801,-11701.9136625055,11,82.3
309998000,2019-08-26 07:04:00,17568.1991296454,-11369.3865117251,11,82.6
309998000,2019-08-26 07:05:00,17610.5693020115,-11025.1753785598,11,82.6
309998000,2019-08-26 07:06:00,17653.452725979,-10695.4957512966,10.9,82.5
309998000,2019-08-26 07:07:00,17697.8874675743,-10352.2463983985,10.9,83.2
309998000,2019-08-26 07:08:00,17751.9683913256,-10024.6965118164,10.9,81
309998000,2019-08-26 07:09:00,17808.8316303713,-9685.24313834258,10.9,80.6
309998000,2019-08-26 07:10:00,17861.8759564726,-9367.6549280163,10.9,80.4
309998000,2019-08-26 07:11:00,17907.5501603668,-9030.2097119532,10.9,80.6
309998000,2019-08-26 07:12:00,17972.651660819,-8702.13545537647,10.9,80.7
309998000,2019-08-26 07:13:00,18017.4998525268,-8369.23287034416,10.9,81.8
309998000,2019-08-26 07:14:00,18083.6703182506,-8047.66441747529,10.8,80.5
309998000,2019-08-26 07:15:00,18140.5902591141,-7709.27919492866,10.8,76.9
309998000,2019-08-26 07:16:00,18238.3408203786,-7392.61400091623,10.7,73.4
309998000,2019-08-26 07:17:00,18328.8796918414,-7077.52441676593,10.8,72.9
309998000,2019-08-26 07:18:00,18426.5592623802,-6755.41380672668,10.8,72.9
309998000,2019-08-26 07:19:00,18522.610635152,-6443.79658178407,10.8,73
309998000,2019-08-26 07:20:00,18625.1230346674,-6117.24586417922,10.9,72.3
309998000,2019-08-26 07:21:00,18723.7716471303,-5796.19271406943,10.9,74
309998000,2019-08-26 07:22:00,18799.8415140989,-5478.45924295269,10.8,77.3
309998000,2019-08-26 07:23:00,18857.5350929706,-5141.36018855874,10.8,80.3
309998000,2019-08-26 07:24:00,18911.8222597019,-4819.39092698156,10.8,82.2
