mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
236555000,50273.8,89641.2,3720,0.98071,0.999,0.00095,0,0,0,1,0,1,0,0,0,0.05071,0.89886,0.05043,0.99969,0.99969
246878000,42469.8,84771.8,3720,0.979778,0.9992,0.00105092,0,0,0,0,1,0,0,0,0,0.0508143,0.899264,0.0499216,0.999664,0.999664
236555000,50036.5,89727.6,3780,0.980068,0.99897,0.000955811,0,0,0,0,0,1,0,0,0,0.0498442,0.900246,0.0499097,0.99979,0.99975
246878000,42678.7,85129.5,3780,0.979852,0.99893,0.000765693,0,0,0,0,1,0,0,0,0,0.0502178,0.899971,0.0498112,0.999821,0.999701
236555000,49799.9,89813.1,3840,0.980086,0.99917,0.000954641,0,0,0,0,0,1,0,0,0,0.0508279,0.899814,0.0493586,0.9998,0.99945
246878000,42898,85492,3840,0.979537,0.99905,0.000986001,0,0,0,0,1,0,0,0,0,0.0497238,0.899359,0.0509167,0.999904,0.999543
236555000,49559.1,89904.9,3900,0.980216,0.99893,0.000952728,0,0,0,0,0,1,0,0,0,0.0494852,0.901036,0.049479,0.99987,0.998862
246878000,43103.7,85844.5,3900,0.980591,0.99884,0.000931855,0,0,0,0,1,0,0,0,0,0.0473177,0.900962,0.0517207,0.999751,0.998758
236555000,49322.2,89992.8,3960,0.979107,0.99892,0.00106849,0,0,0,1,0,1,0,0,0,0.0510999,0.899,0.0498997,0.99996,0.99991
246878000,43312.4,86205.8,3960,0.980583,0.99916,0.00104911,0,0,0,0,1,0,0,0,0,0.0477447,0.902892,0.0493635,0.99992,0.99987
236555000,49080.5,90088.4,4020,0.980502,0.99892,0.0010879,0,0,0,0,0,1,0,0,0,0.0494658,0.898819,0.0517149,0.999948,0.999698
246878000,43526.4,86567.3,4020,0.979392,0.99902,0.00098212,0,0,0,0,1,0,0,0,0,0.0473034,0.902288,0.0504091,0.99995,0.999669
236555000,48852.5,90174.8,4080,0.979988,0.99891,0.000982716,0,0,0,1,0,1,0,0,0,0.0506227,0.897522,0.0518556,0.999969,0.999727
246878000,43741.3,86931.4,4080,0.98031,0.99902,0.00103492,0,0,0,0,1,0,0,0,0,0.0466833,0.903621,0.0496957,0.999959,0.999568
236555000,48616.5,90268,4140,0.980031,0.99913,0.000885319,0,0,0,1,0,1,0,0,0,0.0509768,0.896061,0.0529626,0.99999,0.999588
246878000,43941.3,87292.5,4140,0.980234,0.99886,0.00106656,0,0,0,0,1,0,0,0,0,0.0427509,0.906135,0.051114,0.99998,0.999429
236555000,48379.7,90363.3,4200,0.9797,0.99916,0.00113862,0,0,0,1,0,1,0,0,0,0.0504992,0.896428,0.0530733,0.999981,0.999286
246878000,44158.4,87649.9,4200,0.979873,0.99914,0.000981813,0,0,0,0,1,0,0,0,0,0.0436267,0.90686,0.0495134,0.999988,0.999366
236555000,48148.7,90448.8,4260,0.979498,0.99898,0.00111205,0,0,0,1,0,1,0,0,0,0.048459,0.900283,0.0512578,1,0.999816
246878000,44358.8,88013.1,4260,0.979675,0.99902,0.00101307,0,0,0,0,1,0,0,0,0,0.0335852,0.915017,0.051398,0.999977,0.999906
236555000,47908.2,90553.8,4320,0.98029,0.99902,0.00112605,0,0,0,1,0,1,0,0,0,0.0505183,0.898022,0.0514599,1,0.999335
246878000,44563.2,88364.7,4320,0.979183,0.99902,0.00110089,0,0,0,0,1,0,0,0,0,0.030048,0.919674,0.0502784,0.99998,0.999356
236555000,47709.2,90701.2,4380,0.979427,0.99905,0.00107969,0,1,0,1,0,1,0,0,0,0.0532394,0.945764,0.000996139,1,0.996791
246878000,44779.7,88738.2,4380,0.979901,0.99915,0.000999083,0,0,0,0,1,0,0,0,0,0.0298917,0.918785,0.0513234,1,0.997178
236555000,47589.2,90909.2,4440,0.978984,0.9991,0.00116667,0,1,0,1,0,1,0,0,0,0.052713,0.946434,0.000853045,1,0.801128
246878000,45029.7,89048.8,4440,0.606173,0.99902,0.0207091,0,1,0,1,1,0,0,0,0,0.599355,0.378766,0.0218783,1,0.808336
236555000,47506.9,91133.1,4500,0.0477928,0.99916,0.0488161,0,1,0,0,0,1,0,0,0,0.0503484,0.909268,0.0403834,1,0.500762
246878000,45337.6,89280,4500,0.617231,0.99902,0.0172459,0,1,0,1,1,0,0,0,0,0.613456,0.366057,0.0204874,1,0.503899
236555000,47440.4,91371,4560,0.0559779,0.99893,0.0569722,0,1,0,0,0,1,0,0,0,0.0496344,0.906745,0.043621,0.99999,0.452068
246878000,45677.6,89471.9,4560,0.0361045,0.999,0.0371064,0,1,0,0,1,0,0,0,0,0.0329046,0.916959,0.0501359,1,0.456373
236555000,47367.6,91625.4,4620,0.0477351,0.99897,0.0487823,0,1,0,1,0,1,0,0,0,0.0504788,0.913671,0.0358501,1,0.452878
246878000,46005.2,89678,4620,0.0694439,0.99893,0.0704169,0,1,0,0,1,0,0,0,0,0.0290447,0.922866,0.0480895,1,0.439105
236555000,47294.3,91879,4680,0.0860815,0.99913,0.0870663,0,1,0,0,0,1,0,0,0,0.0514964,0.89413,0.0543738,1,0.455192
246878000,46332.7,89889,4680,0,0.99907,0.00104049,0,1,0,0,1,0,0,0,0,0.0297818,0.919772,0.0504464,1,0.451954
236555000,47220.4,92133.2,4740,0.0689105,0.99906,0.0699116,0,1,0,1,0,1,0,0,0,0.0468416,0.895316,0.0578429,1,0.468645
246878000,46666.7,90098.8,4740,0,0.99897,0.00103856,0,1,0,0,1,0,0,0,0,0.0296855,0.919526,0.0507882,1,0.448786
236555000,47125.2,92394.5,4800,0.0463639,0.99901,0.0473939,0,1,0,0,0,1,0,0,0,0.0524324,0.913326,0.0342413,1,0.444786
246878000,47009.4,90314.4,4800,0,0.99907,0.00103375,0,1,0,0,1,0,0,0,0,0.030508,0.919186,0.050306,1,0.455322
236555000,47010.2,92642,4860,0.0373063,0.99887,0.0383425,0,1,0,1,0,1,0,0,0,0.0524912,0.912782,0.0347264,1,0.401697
246878000,47307.1,90554.1,4860,0,0.99903,0.00102424,0,1,0,1,1,0,0,0,0,0.0303633,0.917837,0.0517992,1,0.405502
236555000,46872.3,92890.2,4920,0.0519942,0.99916,0.0530279,0,1,0,1,0,1,0,0,0,0.0522667,0.913975,0.0337579,1,0.408684
246878000,47581,90838,4920,0,0.99898,0.00103674,0,1,0,1,1,0,0,0,0,0.0315702,0.916956,0.0514739,1,0.403846
236555000,46716.6,93117.3,4980,0.0420914,0.99888,0.0431118,0,1,0,1,0,1,0,0,0,0.047891,0.904338,0.0477708,1,0.364558
246878000,47801.4,91171.2,4980,0,0.99893,0.00103559,0,1,0,1,1,0,0,0,0,0.0310167,0.918918,0.0500656,1,0.367891
236555000,46561,93344.4,5040,0.0400689,0.99901,0.0410974,0,1,0,1,0,1,0,0,0,0.0477635,0.912822,0.0394142,1,0.370636
246878000,47989.3,91528.2,5040,0,0.99901,0.00102832,0,1,0,0,1,0,0,0,0,0.0312532,0.917162,0.0515844,1,0.364778
236555000,46405.5,93571.5,5100,0.0543536,0.99895,0.0553568,0,1,0,1,0,1,0,0,0,0.056217,0.899474,0.0443094,1,0.328846
246878000,48185.6,91892.3,5100,0,0.99905,0.00104752,0,1,0,0,1,0,0,0,0,0.0319793,0.915837,0.0521835,1,0.327759
236555000,46250,93798.6,5160,0.0525345,0.99915,0.0535445,0,1,0,1,0,1,0,0,0,0.0610629,0.905905,0.0330323,1,0.297192
246878000,48371.2,92251.6,5160,0,0.99899,0.00105152,0,1,0,0,1,0,0,0,0,0.0307735,0.915271,0.0539558,1,0.296519
236555000,46094.4,94025.7,5220,0.0396601,0.99894,0.0406871,0,1,0,1,0,1,0,0,0,0.0506958,0.91915,0.0301544,1,0.299343
