mmsi,x,y,time,CR_PS,CR_SS,HO,OT_en,OT_ing
219042000,11273.3,1676.17,3660,0,0,0,1,0
257188000,12498.9,2209.21,3660,0,0,0,0,1
219042000,11081.1,1612.84,3720,0,0,0,1,0
257188000,12216.7,2110.66,3720,0,0,0,0,1
219042000,10894.5,1551.24,3780,0,0,0,1,0
257188000,11964.1,2023.95,3780,0,0,0,0,1
219042000,10705.1,1492.05,3840,0,0,0,1,0
257188000,11726.4,1931.17,3840,0,0,0,0,1
219042000,10526.9,1436.09,3900,0,0,0,1,0
257188000,11507.3,1842.06,3900,0,0,0,0,1
219042000,10334.7,1376.89,3960,0,0,0,1,0
257188000,11292.6,1736.39,3960,0,0,0,0,1
219042000,10148.1,1328.41,4020,0,0,0,1,0
257188000,11039.3,1602.49,4020,0,0,0,0,1
219042000,9955.91,1280.62,4080,0,0,0,1,0
257188000,10744.6,1445.52,4080,0,0,0,0,1
219042000,9769.31,1236.28,4140,0,0,0,1,0
257188000,10437.7,1305.83,4140,0,0,0,0,1
219042000,9579.93,1190.21,4200,0,0,0,1,0
257188000,10108.5,1176.38,4200,0,0,0,0,1
219042000,9390.54,1141.83,4260,0,0,0,1,0
257188000,9758.12,1069.64,4260,0,0,0,0,1
219042000,9192.81,1095.86,4320,0,0,0,1,0
257188000,9407.76,972.739,4320,0,0,0,0,1
219042000,9000.64,1046.78,4380,0,0,0,1,0
257188000,9056.3,878.36,4380,0,0,0,0,1
219042000,8814.05,997.344,4440,0,0,0,0,1
257188000,8706.06,791.23,4440,0,0,0,1,0
219042000,8613.97,951.194,4500,0,0,0,0,1
257188000,8360.05,704.026,4500,0,0,0,1,0
219042000,8421.36,903.884,4560,0,0,0,0,1
257188000,7998.01,616.693,4560,0,0,0,1,0
219042000,8243.12,845.953,4620,0,0,0,0,1
257188000,7662.82,539.091,4620,0,0,0,1,0
219042000,8053.74,786.287,4680,0,0,0,0,1
257188000,7313.59,448.437,4680,0,0,0,1,0
219042000,7867.14,723.154,4740,0,0,0,0,1
257188000,6978.73,324.585,4740,0,0,0,1,0
